"","event_no","duration","date_start","date_end","date_peak","intensity_max","intensity_cumulative","intensity_mean","rate_onset","rate_decline"
"57",27,6,2007-07-13,2007-07-15,2007-07-14,0.8777,4.2748,0.7125,0.274,0.2704
"58",16,5,2005-12-24,2005-12-26,2005-12-24,0.8756,4.1595,0.8319,0.2417,0.0415
"59",47,12,2015-02-07,2015-02-12,2015-02-12,0.8601,9.5284,0.794,0.0297,0.2701
"60",32,6,2007-10-04,2007-10-06,2007-10-06,0.8558,4.8062,0.801,0.0826,0.3439
"61",69,6,2019-03-03,2019-03-05,2019-03-04,0.8544,4.506,0.751,0.143,0.1373
"62",42,32,2014-09-15,2014-09-30,2014-09-26,0.8509,22.9612,0.7175,0.0277,0.0288
"63",37,14,2010-01-29,2010-02-04,2010-01-30,0.8366,10.6622,0.7616,0.1312,0.0462
"64",49,5,2015-06-25,2015-06-27,2015-06-26,0.8309,3.5759,0.7152,0.2412,0.1917
"65",39,5,2010-06-15,2010-06-17,2010-06-17,0.8202,3.1752,0.635,0.1331,0.5258
"66",84,5,2020-09-26,2020-09-28,2020-09-26,0.8109,3.6191,0.7238,0.2216,0.0592
"67",80,5,2020-04-26,2020-04-28,2020-04-27,0.8007,3.6107,0.7221,0.1413,0.136
"68",82,19,2020-06-13,2020-06-22,2020-06-16,0.7862,12.348,0.6499,0.0986,0.0398
"69",64,12,2017-07-06,2017-07-12,2017-07-09,0.7779,7.3424,0.6119,0.0858,0.0829
"70",73,26,2019-06-07,2019-06-19,2019-06-12,0.7736,16.4968,0.6345,0.0547,0.0224
"71",30,6,2007-09-03,2007-09-05,2007-09-04,0.7678,3.8964,0.6494,0.2017,0.292
"72",46,5,2015-02-01,2015-02-03,2015-02-02,0.7436,3.6317,0.7263,0.0626,0.0394
"73",11,10,2003-08-31,2003-09-04,2003-09-01,0.7424,6.7488,0.6749,0.1088,0.0673
"74",87,5,2021-10-09,2021-10-11,2021-10-10,0.7379,3.4946,0.6989,0.0835,0.0882
"75",83,5,2020-09-10,2020-09-12,2020-09-11,0.7257,3.2322,0.6464,0.1959,0.0998
"76",20,5,2006-05-12,2006-05-14,2006-05-12,0.724,3.2623,0.6525,0.1923,0.0735
"77",24,6,2007-05-20,2007-05-22,2007-05-21,0.7226,3.6968,0.6161,0.167,0.2454
"78",57,6,2016-09-11,2016-09-13,2016-09-13,0.7159,3.8752,0.6459,0.0812,0.3355
"79",9,5,2003-04-08,2003-04-10,2003-04-08,0.7137,3.413,0.6826,0.3875,0.027
"80",48,6,2015-06-07,2015-06-09,2015-06-08,0.7058,3.6744,0.6124,0.1454,0.1182
"81",56,8,2016-09-04,2016-09-07,2016-09-06,0.7036,4.7562,0.5945,0.098,0.0929
"82",50,14,2015-07-09,2015-07-15,2015-07-15,0.6942,7.8894,0.5635,0.0486,0.3941
"83",28,5,2007-08-06,2007-08-08,2007-08-08,0.6739,3.1135,0.6227,0.0693,0.1891
"84",29,10,2007-08-12,2007-08-16,2007-08-13,0.6226,5.4274,0.5427,0.1486,0.0472
"85",26,6,2007-06-16,2007-06-18,2007-06-16,0.6162,3.4716,0.5786,0.1238,0.0419
"86",86,6,2021-08-16,2021-08-18,2021-08-16,0.5842,3.1314,0.5219,0.1468,0.1102
"87",55,6,2016-08-16,2016-08-18,2016-08-18,0.5761,3.2814,0.5469,0.0381,0.2948
