#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
159,10/13/2022 22:50:00,26.64,0.00
160,10/13/2022 23:00:00,26.55,0.00
161,10/13/2022 23:10:00,26.51,0.00
162,10/13/2022 23:20:00,26.42,0.00
163,10/13/2022 23:30:00,26.38,0.21
164,10/13/2022 23:40:00,26.34,0.00
165,10/13/2022 23:50:00,26.25,0.00
166,10/14/2022 00:00:00,26.25,0.00
167,10/14/2022 00:10:00,26.17,0.00
168,10/14/2022 00:20:00,26.12,0.00
169,10/14/2022 00:30:00,26.08,0.00
170,10/14/2022 00:40:00,25.99,0.00
171,10/14/2022 00:50:00,25.95,0.00
172,10/14/2022 01:00:00,25.91,0.00
173,10/14/2022 01:10:00,25.87,0.00
174,10/14/2022 01:20:00,25.82,0.00
175,10/14/2022 01:30:00,25.74,0.00
176,10/14/2022 01:40:00,25.69,0.00
177,10/14/2022 01:50:00,25.69,0.00
178,10/14/2022 02:00:00,25.65,0.00
179,10/14/2022 02:10:00,25.52,0.00
180,10/14/2022 02:20:00,25.48,0.00
181,10/14/2022 02:30:00,25.48,0.00
182,10/14/2022 02:40:00,25.35,0.00
183,10/14/2022 02:50:00,25.35,0.00
184,10/14/2022 03:00:00,25.27,0.00
185,10/14/2022 03:10:00,25.18,0.00
186,10/14/2022 03:20:00,25.14,0.00
187,10/14/2022 03:30:00,25.14,0.00
188,10/14/2022 03:40:00,25.09,0.00
189,10/14/2022 03:50:00,25.05,0.00
190,10/14/2022 04:00:00,24.97,0.00
191,10/14/2022 04:10:00,24.92,0.00
192,10/14/2022 04:20:00,24.88,0.00
193,10/14/2022 04:30:00,24.84,0.00
194,10/14/2022 04:40:00,24.84,0.00
195,10/14/2022 04:50:00,24.79,0.00
196,10/14/2022 05:00:00,24.75,0.00
197,10/14/2022 05:10:00,24.75,0.42
198,10/14/2022 05:20:00,24.71,7.91
199,10/14/2022 05:30:00,24.71,43.36
200,10/14/2022 05:40:00,24.71,135.80
201,10/14/2022 05:50:00,24.66,249.36
202,10/14/2022 06:00:00,24.62,360.16
203,10/14/2022 06:10:00,24.62,447.84
204,10/14/2022 06:20:00,24.62,526.88
205,10/14/2022 06:30:00,24.66,1870.08
206,10/14/2022 06:40:00,24.71,2186.24
207,10/14/2022 06:50:00,24.75,2551.04
208,10/14/2022 07:00:00,24.79,2982.40
209,10/14/2022 07:10:00,24.88,3452.16
210,10/14/2022 07:20:00,24.92,3866.88
211,10/14/2022 07:30:00,24.97,4280.32
212,10/14/2022 07:40:00,24.97,4739.84
213,10/14/2022 07:50:00,25.01,5159.68
214,10/14/2022 08:00:00,25.14,5634.56
215,10/14/2022 08:10:00,25.22,6169.60
216,10/14/2022 08:20:00,25.27,6709.76
217,10/14/2022 08:30:00,25.35,6778.88
218,10/14/2022 08:40:00,25.48,7116.80
219,10/14/2022 08:50:00,25.52,7439.36
220,10/14/2022 09:00:00,25.61,7823.36
221,10/14/2022 09:10:00,25.69,8163.84
222,10/14/2022 09:20:00,25.82,8453.12
223,10/14/2022 09:30:00,25.91,8814.08
224,10/14/2022 09:40:00,26.08,9185.28
225,10/14/2022 09:50:00,26.17,9505.28
226,10/14/2022 10:00:00,26.34,9799.68
227,10/14/2022 10:10:00,26.47,9978.88
228,10/14/2022 10:20:00,26.60,10416.64
229,10/14/2022 10:30:00,26.72,10511.36
230,10/14/2022 10:40:00,26.85,10711.04
231,10/14/2022 10:50:00,27.02,11228.16
232,10/14/2022 11:00:00,27.24,11816.96
233,10/14/2022 11:10:00,27.32,12016.64
234,10/14/2022 11:20:00,27.15,2261.76
235,10/14/2022 11:30:00,27.11,2897.92
236,10/14/2022 11:40:00,27.20,3192.32
237,10/14/2022 11:50:00,27.24,2444.80
238,10/14/2022 12:00:00,27.28,2439.68
239,10/14/2022 12:10:00,27.28,2781.44
240,10/14/2022 12:20:00,27.32,2648.32
241,10/14/2022 12:30:00,27.37,2851.84
242,10/14/2022 12:40:00,27.37,2853.12
243,10/14/2022 12:50:00,27.45,5248.00
244,10/14/2022 13:00:00,27.50,4547.84
245,10/14/2022 13:10:00,27.58,8171.52
246,10/14/2022 13:20:00,27.54,4564.48
247,10/14/2022 13:30:00,27.71,7779.84
248,10/14/2022 13:40:00,27.63,6289.92
249,10/14/2022 13:50:00,27.80,7910.40
250,10/14/2022 14:00:00,27.93,10465.28
251,10/14/2022 14:10:00,27.88,8151.04
252,10/14/2022 14:20:00,27.97,8609.28
253,10/14/2022 14:30:00,28.01,7951.36
254,10/14/2022 14:40:00,28.10,7575.04
255,10/14/2022 14:50:00,28.05,7226.88
256,10/14/2022 15:00:00,28.10,7452.16
257,10/14/2022 15:10:00,27.93,1708.16
258,10/14/2022 15:20:00,28.05,6082.56
259,10/14/2022 15:30:00,28.10,5624.32
260,10/14/2022 15:40:00,28.10,5208.32
261,10/14/2022 15:50:00,28.05,4715.52
262,10/14/2022 16:00:00,27.67,4058.88
263,10/14/2022 16:10:00,27.41,3426.56
264,10/14/2022 16:20:00,27.45,2912.00
265,10/14/2022 16:30:00,27.41,2390.40
266,10/14/2022 16:40:00,27.45,1564.80
267,10/14/2022 16:50:00,27.50,945.28
268,10/14/2022 17:00:00,27.54,669.76
269,10/14/2022 17:10:00,27.54,376.64
270,10/14/2022 17:20:00,27.58,318.00
271,10/14/2022 17:30:00,27.58,263.92
272,10/14/2022 17:40:00,27.58,177.04
273,10/14/2022 17:50:00,27.58,98.92
274,10/14/2022 18:00:00,27.63,36.46
275,10/14/2022 18:10:00,27.58,7.05
276,10/14/2022 18:20:00,27.54,0.42
277,10/14/2022 18:30:00,27.63,0.00
278,10/14/2022 18:40:00,27.58,0.00
279,10/14/2022 18:50:00,27.58,0.00
280,10/14/2022 19:00:00,27.58,0.00
281,10/14/2022 19:10:00,27.58,0.00
282,10/14/2022 19:20:00,27.54,0.00
283,10/14/2022 19:30:00,27.54,0.00
284,10/14/2022 19:40:00,27.54,0.00
285,10/14/2022 19:50:00,27.50,0.00
286,10/14/2022 20:00:00,27.50,0.00
287,10/14/2022 20:10:00,27.45,0.00
288,10/14/2022 20:20:00,27.45,0.00
289,10/14/2022 20:30:00,27.45,0.00
290,10/14/2022 20:40:00,27.45,0.00
291,10/14/2022 20:50:00,27.41,0.00
292,10/14/2022 21:00:00,27.37,0.00
293,10/14/2022 21:10:00,27.37,0.00
294,10/14/2022 21:20:00,27.32,0.00
295,10/14/2022 21:30:00,27.28,0.00
296,10/14/2022 21:40:00,27.32,0.00
297,10/14/2022 21:50:00,27.28,0.00
298,10/14/2022 22:00:00,27.24,0.00
299,10/14/2022 22:10:00,27.24,0.00
300,10/14/2022 22:20:00,27.20,0.00
301,10/14/2022 22:30:00,27.15,0.00
302,10/14/2022 22:40:00,27.11,0.00
303,10/14/2022 22:50:00,27.07,0.00
304,10/14/2022 23:00:00,26.94,0.00
305,10/14/2022 23:10:00,26.94,0.00
306,10/14/2022 23:20:00,26.90,0.21
307,10/14/2022 23:30:00,26.85,0.00
308,10/14/2022 23:40:00,26.81,0.00
309,10/14/2022 23:50:00,26.77,0.00
310,10/15/2022 00:00:00,26.77,0.00
311,10/15/2022 00:10:00,26.68,0.00
312,10/15/2022 00:20:00,26.64,0.00
313,10/15/2022 00:30:00,26.55,0.00
314,10/15/2022 00:40:00,26.47,0.00
315,10/15/2022 00:50:00,26.47,0.00
316,10/15/2022 01:00:00,26.42,0.00
317,10/15/2022 01:10:00,26.34,0.00
318,10/15/2022 01:20:00,26.25,0.00
319,10/15/2022 01:30:00,26.25,0.00
320,10/15/2022 01:40:00,26.17,0.00
321,10/15/2022 01:50:00,26.08,0.00
322,10/15/2022 02:00:00,26.04,0.00
323,10/15/2022 02:10:00,25.95,0.00
324,10/15/2022 02:20:00,25.95,0.00
