Measurement Name :,20221028_SDR710_AMB_WT_COHORT1021,,Generated On :,"28/10/2022, 12:32:43",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
28.10.22 12:16:17,5.03,104.51,82.16,90.17,87.96,83.7,85.65,79.25,87.4,90.94,98.94,97.73,100.6,93.21,105.01,88.28,93.7,92.26,97.91,92.15,76.62,105.22,85.16,94.51,99.4,,30,965,36,29.41,
28.10.22 12:16:32,5.28,104.36,81.74,90.03,88.24,83.84,85.51,79.11,86.83,90.94,99.24,97.88,100.75,93.21,105.16,88.14,93.7,92.26,98.07,91.86,76.04,105.53,85,94.22,99.4,,30,965,36,29.42,
28.10.22 12:16:47,5.53,104.36,81.32,89.6,87.96,83.7,85.08,78.55,86.4,90.5,98.64,97.43,100.45,92.63,105.01,87.7,93.24,91.52,97.91,91.42,75.32,105.22,84.54,94.22,99.4,,30,965,36,29.42,
28.10.22 12:17:02,5.78,104.36,80.9,89.6,87.68,83.7,84.94,78.55,86.26,90.21,98.64,96.98,100.45,92.48,105.01,87.4,93.09,91.23,97.75,91.13,74.74,105.37,84.69,93.78,99.25,,30,965,36,29.42,
28.10.22 12:17:17,6.03,104.21,80.2,89.03,87.12,83.28,84.51,78.41,85.83,90.06,98.64,96.98,100.45,92.05,105.16,87.4,92.63,90.94,97.43,91.13,74.17,105.83,84.23,93.49,99.55,,30,965,36,29.45,
28.10.22 12:17:32,6.28,104.51,79.93,88.89,87.26,83.14,84.65,78.13,85.4,90.21,98.64,96.83,100.45,91.9,105.16,87.25,92.78,90.94,97.75,90.69,73.74,105.68,83.92,93.34,99.85,,30,965,36,29.44,
28.10.22 12:17:47,6.53,104.51,79.51,88.61,86.7,82.72,84.08,77.85,85.54,89.77,98.49,96.68,100.3,91.61,105.47,86.81,92.48,90.5,97.59,90.4,73.02,105.98,83.77,93.05,99.55,,30,965,36,29.46,
28.10.22 12:18:02,6.78,104.21,79.37,88.04,86.42,82.3,83.23,77.57,84.97,89.62,98.04,96.53,100.3,90.89,105.47,86.08,91.72,90.35,97.59,89.97,72.59,105.68,83.15,92.75,99.55,,30,965,36,29.46,
28.10.22 12:18:17,7.03,104.21,78.82,87.9,86.14,81.88,82.8,77.57,84.83,89.62,98.04,96.38,100.3,90.6,105.47,85.93,91.72,90.06,97.43,89.39,71.88,105.83,83,92.61,99.7,,30,965,36,29.46,
28.10.22 12:18:32,7.28,104.06,78.68,87.48,86,82.02,82.52,77.29,84.68,89.48,97.74,96.23,100.15,90.6,105.32,85.49,91.27,89.48,97.43,89.1,71.3,105.68,82.84,92.61,99.7,,30,965,36,29.48,
28.10.22 12:18:47,7.53,104.06,78.26,87.06,85.72,81.32,82.24,77.15,84.26,89.33,97.59,95.93,100.15,90.31,105.32,85.05,91.12,89.19,97.11,88.66,70.45,105.68,82.54,92.17,99.55,,30,965,36,29.48,
28.10.22 12:19:02,7.78,104.21,78.4,86.77,85.72,81.04,81.81,76.88,83.97,88.89,97.59,95.48,100.3,90.31,105.47,84.91,90.66,88.75,97.11,88.23,70.03,105.98,81.92,92.32,99.7,,30,965,36,29.49,
28.10.22 12:19:17,8.03,104.21,78.54,86.49,85.58,80.48,81.39,76.6,83.83,89.04,97.44,94.89,100.3,90.16,105.78,84.76,90.51,88.6,96.79,88.08,69.46,105.83,81.92,91.88,99.4,,30,965,36,29.49,
28.10.22 12:19:32,8.28,104.06,78.13,86.07,85.3,79.51,80.54,76.6,83.41,88.75,97.14,95.04,99.85,89.87,105.47,84.18,90.06,88.31,96.47,87.07,68.75,105.83,81.46,91.44,99.25,,30,965,36,29.5,
28.10.22 12:19:47,8.53,103.9,77.99,85.79,84.89,79.09,79.98,76.32,82.98,88.6,96.99,94.44,100,89.3,105.32,84.18,89.91,87.88,95.83,86.64,67.9,105.83,81.31,91.15,99.09,,30,965,36,29.52,
28.10.22 12:20:02,8.78,103.9,77.99,85.65,85.02,78.96,79.7,76.18,83.12,88.6,96.84,94.29,99.85,89.15,105.47,83.6,89.46,87.3,95.51,86.5,67.48,105.83,80.7,90.86,98.79,,30,965,36,29.53,
28.10.22 12:20:17,9.03,103.75,77.85,85.23,84.75,78.68,79.28,76.04,82.56,88.46,96.69,94.29,100,89.15,105.47,83.02,89.16,87.01,95.35,86.21,66.78,106.13,80.85,90.28,98.64,,30,965,36,29.53,
28.10.22 12:20:32,9.28,103.75,77.57,84.81,84.47,78.13,79,75.76,82.13,88.17,96.69,94.14,99.85,88.86,105.32,82.73,88.71,86.72,95.19,86.5,66.36,106.13,80.39,90.42,98.49,,30,965,36,29.53,
28.10.22 12:20:47,9.53,103.6,77.3,84.67,84.05,78.13,78.58,75.62,81.71,87.88,96.24,94.14,99.7,88.72,105.47,82.58,88.71,86.72,94.71,86.21,65.93,105.98,80.39,89.84,98.34,,30,965,36,29.55,
28.10.22 12:21:02,9.78,103.45,77.02,84.25,83.64,77.71,78.16,75.62,81.57,87.59,95.79,93.84,99.7,88.29,105.62,82,88.41,86.57,94.39,85.78,65.23,106.28,80.24,89.84,98.19,,30,965,36,29.56,
28.10.22 12:21:17,10.03,103.3,77.02,83.97,83.5,77.16,77.74,75.48,81.14,87.3,95.79,93.69,99.25,88.15,105.47,81.86,88.11,86.43,94.39,85.5,64.81,106.28,79.63,89.7,97.74,,30,965,36,29.56,
28.10.22 12:21:32,10.28,103.45,77.02,83.69,83.36,76.61,77.6,75.62,80.58,87.01,95.64,93.4,99.25,87.72,105.47,81.86,87.96,86.28,94.23,85.5,64.54,106.13,79.63,89.12,98.04,,30,965,36,29.55,
28.10.22 12:21:47,10.53,103.3,76.47,83,82.94,76.06,76.76,75.62,79.74,86.86,95.34,93.25,99.25,87.43,105.16,81.28,87.66,85.71,93.92,85.07,63.98,105.98,79.48,88.97,97.44,,30,965,36,29.56,
28.10.22 12:22:02,10.78,103,76.47,82.86,82.67,75.51,76.07,75.62,79.6,86.57,95.19,93.1,99.1,87.29,105.32,81.13,87.36,85.42,93.76,84.64,63.56,106.28,79.33,88.4,97.29,,30,965,36,29.58,
28.10.22 12:22:17,11.03,103.15,76.61,82.72,82.39,74.97,75.65,76.04,79.46,86.28,94.9,93.25,99.25,87.29,105.47,80.84,87.36,85.56,93.6,84.92,63.42,106.28,79.18,88.54,97.29,,30,965,36,29.59,
28.10.22 12:22:32,11.28,103,76.75,82.44,82.39,75.1,75.23,75.76,78.9,86.14,94.6,92.65,99.1,87,105.32,80.7,87.21,85.28,94.08,84.49,63,106.13,79.18,88.25,97.29,,30,965,36,29.6,
28.10.22 12:22:47,11.53,103,76.34,82.16,81.98,74.69,74.82,76.04,78.34,85.71,94.3,92.36,99.1,87,105.16,80.27,86.91,85.13,93.6,83.92,62.45,106.43,78.72,88.25,96.99,,30,965,36,29.6,
28.10.22 12:23:02,11.78,103.15,76.34,82.16,81.84,74.42,74.96,76.04,77.92,85.71,94.3,92.06,99.25,86.71,105.16,80.12,86.91,84.84,93.28,83.64,62.17,106.43,78.87,88.11,96.99,,30,965,36,29.61,
28.10.22 12:23:17,12.03,102.85,76.06,81.61,81.43,73.74,74.54,76.18,77.36,84.99,94,91.47,99.1,86.14,105.32,79.69,86.46,84.41,92.81,82.79,61.34,106.43,78.42,87.82,96.69,,30,965,36,29.61,
28.10.22 12:23:32,12.28,102.85,75.51,81.47,81.15,73.6,74.13,76.04,76.67,84.84,93.71,91.03,98.95,86,105.32,79.55,86.16,84.41,92.65,82.64,60.51,106.43,78.26,87.53,96.39,,30,965,36,29.63,
28.10.22 12:23:47,12.53,102.85,75.1,81.06,80.88,73.33,73.71,76.18,76.11,84.56,93.26,90.44,98.66,85.43,105.16,79.12,85.87,83.84,92.81,82.22,60.1,106.43,78.11,87.25,96.54,,30,965,36,29.63,
28.10.22 12:24:02,12.78,102.85,75.38,81.06,81.01,73.33,73.85,76.74,76.39,84.7,93.26,90.59,98.95,85.14,105.62,78.97,85.87,83.84,92.49,81.93,59.82,106.58,77.96,86.96,96.39,,30,965,36,29.63,
28.10.22 12:24:17,13.03,102.85,74.69,80.78,80.46,72.65,73.44,76.04,75.56,84.13,92.67,90,98.66,84.72,105.32,78.4,85.57,83.55,92.02,81.65,59.27,106.43,77.05,86.53,96.24,,30,965,36,29.64,
28.10.22 12:24:32,13.28,102.85,74.42,80.37,80.33,72.24,73.16,76.18,75.15,83.98,92.82,89.26,98.36,84.15,105.16,78.4,85.27,83.27,91.7,81.23,58.72,106.58,77.2,86.38,95.95,,30,965,36,29.66,
28.10.22 12:24:47,13.53,102.7,74.28,80.23,80.19,71.3,73.16,75.9,75.01,83.84,92.67,89.26,98.66,84.01,105.16,77.97,84.97,82.84,91.7,80.8,57.9,106.73,76.75,86.38,95.95,,30,965,36,29.67,
28.10.22 12:25:02,13.78,102.7,74.01,79.68,79.78,70.49,72.61,75.62,74.32,83.7,92.08,88.68,98.51,83.72,105.32,77.54,84.68,82.69,91.54,80.52,57.22,106.73,76.3,86.1,95.95,,30,965,36,29.67,
28.10.22 12:25:17,14.03,102.55,74.01,79.54,79.64,70.35,72.47,75.35,73.77,83.55,92.08,88.24,98.51,83.44,105.32,77.54,84.68,82.41,91.39,80.38,55.72,106.43,76.15,86.1,95.65,,30,965,36,29.67,
28.10.22 12:25:32,14.28,102.4,73.74,79.13,79.37,70.08,72.06,74.93,73.22,82.98,91.78,87.95,98.21,83.16,105.32,77.12,84.38,82.27,90.76,79.68,54.23,106.28,75.55,85.81,95.5,,30,965,36,29.69,
28.10.22 12:25:47,14.53,102.4,73.33,78.72,79.1,69.95,72.06,74.1,72.67,83.27,91.34,87.36,98.21,82.73,105.32,76.83,83.94,81.98,90.29,79.39,53.15,106.43,75.55,85.67,95.35,,30,965,36,29.7,
28.10.22 12:26:02,14.78,102.4,73.06,78.58,78.96,69.55,71.79,73.41,72.53,82.98,91.49,87.07,98.21,82.73,105.01,76.69,83.64,81.7,90.44,79.25,52.21,106.58,75.85,85.67,95.35,,30,965,36,29.7,
28.10.22 12:26:17,15.03,102.4,72.79,78.44,78.82,69.41,71.24,73,72.39,82.55,91.05,86.63,98.36,82.31,105.16,76.26,83.49,81.27,90.13,78.97,51.13,106.58,75.85,85.53,95.35,,30,965,36,29.71,
28.10.22 12:26:32,15.28,102.55,72.52,78.3,78.55,69.41,71.1,72.72,71.71,82.41,90.9,86.2,98.06,82.45,105.47,76.12,83.2,81.41,89.97,78.97,50.19,106.58,75.55,85.38,95.2,,30,965,36,29.71,
28.10.22 12:26:47,15.53,102.4,72.38,78.03,78.41,69.01,70.83,72.17,71.44,81.98,90.46,85.62,98.06,82.31,105.32,75.98,82.75,80.84,89.66,78.69,49.53,106.58,75.55,85.38,94.75,,30,965,36,29.71,
28.10.22 12:27:02,15.78,102.1,72.11,77.62,77.87,69.01,70.56,71.48,71.03,81.84,90.17,85.04,97.91,82.17,105.32,75.69,82.75,80.56,89.5,78.41,48.73,106.58,75.4,84.81,94.9,,30,965,36,29.71,
28.10.22 12:27:17,16.03,102.25,71.7,77.62,77.6,68.87,70.28,71.21,70.62,81.55,90.02,84.46,97.61,82.03,105.01,75.55,82.31,80.14,89.34,77.85,48.06,106.58,76,84.67,94.6,,30,965,36,29.74,
28.10.22 12:27:32,16.28,102.1,71.43,77.48,77.73,68.61,69.88,70.8,70.21,81.27,90.02,84.17,97.61,82.03,105.32,75.41,82.46,79.71,89.5,77.71,48.2,106.43,76.3,84.53,94.75,,30,965,36,29.74,
28.10.22 12:27:47,16.53,102.1,70.76,76.94,77.32,68.2,69.47,70.53,69.53,81.13,89.43,83.59,97.46,81.89,105.16,74.84,81.87,79.43,89.03,77.29,47.53,106.13,76,83.96,94.16,,30,965,36,29.74,
28.10.22 12:28:02,16.78,101.95,69.95,76.8,77.05,67.94,69.06,70.25,68.99,80.7,88.99,82.87,97.46,81.61,105.01,74.84,81.72,79,88.56,76.74,47.27,106.13,76,83.81,94.31,,30,965,36,29.75,
28.10.22 12:28:17,17.03,101.95,69.01,76.39,76.78,67.67,68.65,69.44,68.99,80.56,89.14,82.3,97.46,81.04,105.32,74.42,81.58,78.72,88.4,76.46,46.74,106.28,76.45,83.39,94.31,,30,965,36,29.74,
28.10.22 12:28:32,17.28,101.95,68.2,76.12,76.51,67.4,68.52,68.89,68.58,80.28,88.7,81.58,97.46,80.9,105.16,73.85,81.43,78.3,88.4,76.46,46.47,106.43,76.3,83.1,93.71,,30,965,36,29.77,
28.10.22 12:28:47,17.53,101.95,67.54,75.98,76.38,66.34,68.11,68.35,68.45,79.71,88.41,81.44,97.32,80.48,105.01,73.85,81.14,78.3,88.09,76.04,46.47,106.43,76.45,82.96,94.01,,30,965,36,29.77,
28.10.22 12:29:02,17.78,101.95,67.4,75.98,76.11,66.07,67.97,67.81,68.58,79.43,88.41,81.15,97.17,80.62,105.32,73.15,80.84,77.6,87.94,76.04,46.21,106.58,76.6,82.68,93.71,,30,965,36,29.77,
28.10.22 12:29:17,18.03,101.8,67.27,75.58,75.97,65.67,67.57,66.99,68.31,78.86,87.97,80.44,97.02,80.2,105.01,72.87,80.55,77.46,87.78,76.04,45.81,106.43,76.75,82.68,93.27,,30,965,36,29.78,
28.10.22 12:29:32,18.28,101.95,66.87,75.58,75.56,65.67,67.16,66.86,68.72,78.72,88.12,79.87,97.02,80.2,105.16,72.87,80.55,77.03,87.78,75.9,45.94,106.58,77.2,82.68,93.27,,30,965,36,29.78,
28.10.22 12:29:47,18.53,101.65,66.34,75.31,75.03,65.41,66.62,65.91,68.45,78.3,87.53,79.3,96.87,79.64,105.01,72.02,80.11,76.89,87.31,75.62,45.68,106.43,76.9,82.25,93.12,,30,965,36,29.78,
28.10.22 12:30:02,18.78,101.65,66.07,75.17,74.62,65.41,66.22,65.78,68.45,78.16,87.39,79.01,96.87,79.78,105.01,71.74,79.82,76.47,87.16,75.48,45.68,106.28,77.2,82.11,92.97,,30,965,36,29.8,
28.10.22 12:30:17,19.03,101.35,65.54,74.63,73.95,64.61,65.82,65.51,68.85,77.6,87.1,78.16,96.87,79.5,105.01,71.6,79.53,76.05,86.85,75.48,45.42,106.13,77.36,82.25,92.68,,30,965,36,29.8,
28.10.22 12:30:32,19.28,101.35,65.67,74.76,73.95,64.75,65.41,65.38,69.12,77.46,86.95,77.74,96.87,79.22,105.16,71.18,79.38,75.77,86.69,75.21,44.63,106.28,77.51,81.97,92.38,,30,965,36,29.8,
28.10.22 12:30:47,19.53,101.5,65.54,74.63,73.28,64.48,65.28,64.84,69.26,76.89,86.37,76.75,96.72,79.08,105.16,70.48,79.09,75.22,86.53,75.07,44.23,105.98,76.9,81.55,92.09,,30,965,36,29.81,
28.10.22 12:31:02,19.78,101.35,65.94,74.36,72.74,64.09,65.14,64.44,69.53,76.75,86.37,76.46,96.57,78.8,105.32,70.48,78.8,74.94,86.38,74.79,43.58,106.28,77.66,81.27,91.79,,30,965,36,29.81,
28.10.22 12:31:17,20.03,101.5,66.47,74.36,72.21,64.22,65.01,64.03,69.8,76.89,86.37,75.9,96.72,78.66,105.47,70.2,78.51,74.38,86.22,74.65,42.79,106.58,77.51,81.69,91.5,,30,965,36,29.83,
28.10.22 12:31:32,20.28,101.35,66.6,74.22,71.41,63.95,64.47,63.5,70.21,76.19,86.08,75.34,96.57,77.97,105.32,69.78,77.92,73.96,85.91,74.38,42.27,106.43,76.75,81.27,91.2,,30,965,36,29.83,
28.10.22 12:31:47,20.53,101.2,67,73.95,71.01,63.69,64.07,63.23,70.35,75.91,85.65,74.78,96.57,77.83,105.62,69.23,77.92,73.68,85.91,74.24,41.75,106.28,76.15,80.98,90.76,,30,965,36,29.84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
