Measurement Name :,20221031_SDR641_AMB,,Generated On :,"31/10/2022, 14:48:55",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
31.10.22 14:31:43,4.05,95.16,104.6,81.96,107.82,100.29,93.75,104.49,90.7,91.2,96.24,91.73,95.36,100.59,90.73,93.61,102.53,104.28,95.66,100,83.89,86.99,110.77,89.96,77.46,,27,965,36,26.08,
31.10.22 14:31:58,4.3,95.16,104.75,81.96,108.13,100.44,93.89,104.64,90.56,91.2,96.39,92.16,95.22,100.74,90.73,93.76,102.83,104.43,95.51,100.29,83.74,86.71,110.93,89.96,76.87,,27,965,36,26.08,
31.10.22 14:32:13,4.55,95.02,104.75,81.68,107.82,100.14,93.47,104.64,90.42,90.77,95.95,91.87,94.92,100.74,90.3,93.61,102.53,104.13,95.36,100,83.44,86.85,110.61,89.23,75.85,,27,965,36,26.11,
31.10.22 14:32:28,4.8,95.3,105.05,81.54,108.29,100.87,93.47,104.94,90.56,91.05,96.54,92.01,95.07,101.03,90.44,93.9,102.68,104.58,95.36,100.43,83.44,86.85,111.09,89.52,75.41,,27,965,36,26.11,
31.10.22 14:32:43,5.05,95.02,104.75,80.98,107.82,100.44,93.33,104.49,90.28,90.63,95.95,91.73,94.77,100.59,89.87,93.47,102.68,104.43,95.22,100,82.84,86.3,110.93,88.8,74.54,,27,965,36,26.13,
31.10.22 14:32:58,5.3,95.02,104.75,80.84,108.29,100.44,93.05,104.64,90,90.63,95.8,91.44,94.62,100.59,89.58,93.33,102.83,104.13,94.92,100.14,82.68,85.89,110.77,88.51,74.11,,27,965,36,26.13,
31.10.22 14:33:13,5.55,95.16,104.75,80.42,108.29,100.73,92.77,104.79,90,90.34,95.8,91.58,94.47,100.88,89.29,93.18,102.68,104.43,95.07,100.14,82.53,85.76,110.93,88.07,73.67,,27,965,36,26.13,
31.10.22 14:33:28,5.8,94.88,104.9,80.15,108.29,100.58,92.35,104.64,89.58,90.34,95.65,91.73,94.18,101.03,89.14,93.18,102.83,104.43,94.77,100.29,82.23,85.62,111.09,87.78,73.09,,27,965,36,26.15,
31.10.22 14:33:43,6.05,95.02,105.05,80.01,108.29,100.58,92.07,104.79,89.44,90.2,95.65,91.58,94.18,100.88,88.86,93.04,102.98,104.43,94.62,100.43,81.78,85.62,111.25,87.5,72.66,,27,965,36,26.15,
31.10.22 14:33:58,6.3,94.88,104.9,79.59,108.29,100.73,91.93,104.64,89.02,89.92,95.5,91.58,94.03,100.88,88.57,92.75,102.98,104.43,94.62,100.29,81.48,85.49,111.25,87.06,72.08,,27,965,36,26.16,
31.10.22 14:34:13,6.55,94.88,105.05,79.31,108.13,100.73,91.79,104.79,89.3,89.92,95.2,91.58,94.03,100.88,88.14,92.61,102.98,104.43,94.62,100.29,81.03,85.21,111.09,86.78,71.79,,27,965,36,26.18,
31.10.22 14:34:28,6.8,94.74,105.05,79.03,108.13,100.58,91.65,104.64,89.02,89.78,95.2,91.44,93.74,100.88,87.7,92.61,103.13,104.58,94.47,100.29,80.88,85.21,111.25,86.49,71.36,,27,965,36,26.18,
31.10.22 14:34:43,7.05,94.88,104.75,78.89,108.44,100.73,91.51,104.79,88.88,89.78,95.2,91.44,93.59,101.03,87.27,92.18,103.13,104.43,94.33,100.43,80.58,84.67,111.41,86.2,70.5,,27,965,36,26.19,
31.10.22 14:34:58,7.3,94.59,104.9,78.48,108.44,100.73,91.23,104.64,88.88,89.49,94.75,91.44,93.29,101.03,86.84,92.32,102.98,104.58,94.03,100.43,80.13,84.4,111.25,85.77,69.78,,27,965,36,26.21,
31.10.22 14:35:13,7.55,94.74,105.05,78.2,108.6,100.73,91.09,104.94,88.46,89.35,94.75,91.3,93,101.18,86.56,92.18,103.13,104.73,94.03,100.43,79.68,83.99,111.25,85.48,69.36,,27,965,36,26.22,
31.10.22 14:35:28,7.8,94.74,105.2,77.92,108.29,101.02,90.81,104.94,88.46,89.21,94.61,91.58,93,101.33,86.27,92.18,103.13,104.88,93.88,100.43,79.23,83.85,111.41,85.2,69.07,,27,965,36,26.22,
31.10.22 14:35:43,8.05,94.45,104.75,77.51,108.44,100.73,90.67,104.94,88.18,88.93,94.31,91.15,92.7,101.03,85.7,91.61,103.13,104.73,93.74,100.43,78.49,83.45,111.09,84.91,68.36,,27,965,36,26.22,
31.10.22 14:35:58,8.3,94.59,105.2,77.23,108.44,101.02,90.53,105.09,88.04,88.93,94.31,91.44,92.41,101.33,85.56,91.61,103.28,104.73,93.74,100.58,78.19,83.31,111.57,84.19,67.93,,27,965,36,26.24,
31.10.22 14:36:13,8.55,94.59,104.9,76.54,108.75,101.02,90.39,105.24,88.04,88.65,94.01,91.3,92.56,101.18,84.99,91.32,103.28,104.88,93.59,100.43,77.59,83.04,111.57,84.05,67.22,,27,965,36,26.24,
31.10.22 14:36:28,8.8,94.59,105.2,75.85,108.6,101.02,90.26,105.24,87.9,88.5,93.72,91.3,92.26,101.33,84.7,91.04,103.43,104.88,93.59,100.72,77.3,82.64,111.57,83.62,66.65,,27,965,36,26.25,
31.10.22 14:36:43,9.05,94.59,105.05,75.44,108.91,100.87,90.12,105.09,87.76,88.22,93.72,91.15,91.97,101.48,84.56,90.61,103.13,104.88,93.44,100.58,76.85,82.23,111.41,83.48,65.94,,27,965,36,26.26,
31.10.22 14:36:58,9.3,94.31,105.05,75.03,108.44,101.02,89.84,104.94,87.48,88.08,93.42,91.3,91.97,101.33,84.13,90.18,103.28,105.03,93.29,100.58,76.11,81.96,111.41,83.05,65.38,,27,965,36,26.26,
31.10.22 14:37:13,9.55,94.31,105.2,74.48,108.29,101.02,89.98,104.94,87.06,87.66,93.27,91.3,91.82,101.33,83.85,89.9,103.43,104.88,93.14,100.58,75.67,81.69,111.57,82.34,64.53,,27,965,36,26.28,
31.10.22 14:37:28,9.8,94.45,105.2,74.34,108.75,100.87,89.84,105.24,86.92,87.52,92.98,91.15,91.67,101.33,83.43,89.9,103.43,104.88,93,100.58,74.78,81.42,111.41,82.34,64.11,,27,965,36,26.28,
31.10.22 14:37:43,10.05,94.31,105.2,74.2,108.75,101.02,89.7,105.24,86.92,87.1,92.68,91.44,91.38,101.33,83.43,89.61,103.58,104.88,92.85,100.72,74.05,81.16,111.73,81.78,63.12,,27,965,36,26.29,
31.10.22 14:37:58,10.3,94.17,105.2,74.2,108.75,101.16,89.98,105.39,86.78,86.96,92.53,91.3,91.38,101.62,83,89.19,103.73,104.88,92.85,100.72,73.6,80.89,111.89,81.35,61.86,,27,965,36,26.29,
31.10.22 14:38:13,10.55,94.31,105.35,73.93,108.75,101.16,89.84,105.39,86.37,86.96,92.38,91.3,91.09,101.62,82.72,88.76,103.43,105.03,92.56,100.72,72.87,80.62,111.57,80.64,61.16,,27,965,36,26.29,
31.10.22 14:38:28,10.8,94.03,105.2,73.52,108.91,101.16,89.56,105.55,86.37,86.54,92.24,91.3,90.94,101.48,82.43,88.06,103.43,105.03,92.56,100.72,72.58,80.22,111.73,79.94,60.47,,27,965,36,26.32,
31.10.22 14:38:43,11.05,94.03,105.35,73.11,108.75,101.16,89.42,105.24,85.95,86.68,91.94,91.15,90.65,101.62,82.29,87.63,103.73,105.03,92.41,100.72,72.14,79.82,111.89,79.66,59.91,,27,965,36,26.32,
31.10.22 14:38:58,11.3,94.03,105.35,72.97,108.6,101.31,89.56,105.24,85.67,86.26,91.5,91.3,90.65,101.77,81.73,87.07,103.58,105.32,92.41,100.86,71.99,79.41,111.73,79.23,59.49,,27,965,36,26.32,
31.10.22 14:39:13,11.55,93.89,105.05,72.7,108.91,101.16,89.42,105.55,84.98,86.12,91.21,91.15,90.21,101.48,81.45,86.51,103.58,105.17,91.97,100.58,71.12,78.88,111.89,78.81,58.94,,27,965,36,26.33,
31.10.22 14:39:28,11.8,93.89,105.35,72.43,108.91,101.31,89.28,105.55,84.84,85.84,91.21,91.3,90.35,101.62,81.59,85.95,103.88,105.03,91.97,100.86,71.12,78.88,111.57,78.53,58.39,,27,965,36,26.33,
31.10.22 14:39:43,12.05,93.61,105.35,72.29,109.06,101.16,88.87,105.39,84.29,85.42,90.76,91.01,89.92,101.48,81.03,85.53,103.58,105.03,91.82,100.86,70.24,78.35,111.73,78.25,57.69,,27,965,36,26.33,
31.10.22 14:39:58,12.3,93.75,105.35,72.02,108.91,101.31,88.87,105.39,84.01,85.28,90.76,91.15,89.62,101.62,80.88,85.53,103.58,105.03,91.82,100.86,69.81,78.08,112.06,77.83,57.28,,27,965,36,26.36,
31.10.22 14:40:13,12.55,93.61,105.2,72.02,109.06,101.31,88.59,105.55,83.74,85.14,90.47,91.01,89.48,101.48,80.46,84.97,103.58,105.03,91.67,101.01,69.22,77.29,111.89,77.69,56.73,,27,965,36,26.36,
31.10.22 14:40:28,12.8,93.61,105.35,71.75,108.75,101.31,88.04,105.55,83.74,85,89.88,91.15,89.33,101.48,80.18,84.83,103.73,105.32,91.53,100.86,68.65,77.02,112.06,76.99,55.77,,27,965,36,26.36,
31.10.22 14:40:43,13.05,93.61,105.2,71.21,108.91,101.16,87.63,105.55,83.46,84.86,89.74,91.15,89.33,101.77,79.9,84.69,103.73,105.17,91.38,100.86,68.36,76.49,111.89,76.57,55.22,,27,965,36,26.36,
31.10.22 14:40:58,13.3,93.61,105.65,70.67,109.22,101.31,87.35,105.7,83.32,84.72,89.74,91.3,89.19,101.92,79.9,84.41,103.73,105.32,91.23,101.15,68.5,76.36,112.22,75.74,54.67,,27,965,36,26.38,
31.10.22 14:41:13,13.55,93.47,105.35,70.12,109.22,101.45,86.94,105.39,82.91,84.44,89.59,91.01,88.9,101.62,79.48,84.13,103.88,105.17,91.09,100.86,68.07,75.7,111.89,75.04,53.71,,27,965,36,26.39,
31.10.22 14:41:28,13.8,93.33,105.65,69.45,108.91,101.31,86.94,105.39,82.91,84.02,89.45,91.3,88.6,101.48,79.06,83.99,103.88,105.32,90.94,101.15,67.63,75.43,111.89,74.21,53.17,,27,965,36,26.4,
31.10.22 14:41:43,14.05,93.33,105.2,68.91,109.06,101.16,86.25,105.39,82.5,83.47,88.71,91.01,88.31,101.77,78.78,83.71,103.73,105.03,90.65,101.01,67.06,74.91,111.73,73.52,52.49,,27,965,36,26.4,
31.10.22 14:41:58,14.3,93.19,105.65,68.37,109.06,101.31,85.98,105.7,82.22,83.61,88.71,91.3,88.31,101.92,78.5,83.57,103.88,105.32,90.79,101.15,67.06,74.78,112.06,73.1,51.81,,27,965,36,26.41,
31.10.22 14:42:13,14.55,93.05,105.35,68.1,109.06,101.31,85.43,105.7,81.81,83.19,88.42,91.15,88.02,101.77,78.22,82.88,103.88,105.17,90.5,101.15,66.48,74.12,112.06,72.42,51,,27,965,36,26.41,
31.10.22 14:42:28,14.8,93.05,105.5,67.57,109.53,101.45,85.02,105.85,81.68,83.19,88.42,91.15,88.02,101.92,78.09,83.16,103.88,105.47,90.65,101.15,66.48,73.99,112.06,72.14,50.59,,27,965,36,26.43,
31.10.22 14:42:43,15.05,93.05,105.5,67.3,109.06,101.6,84.61,105.85,81.27,83.05,87.99,91.15,87.73,101.92,77.67,82.88,103.88,105.32,90.21,101.15,65.76,73.33,112.06,71.73,49.78,,27,965,36,26.44,
31.10.22 14:42:58,15.3,93.05,105.65,66.9,109.38,101.45,84.2,106,80.99,83.05,88.13,91.15,87.73,101.92,77.25,82.74,104.03,105.47,90.21,101.3,65.62,73.2,112.22,71.18,49.24,,27,965,36,26.44,
31.10.22 14:43:13,15.55,92.91,105.65,66.63,109.38,101.6,83.79,105.85,80.86,82.91,87.84,91.15,87.44,101.92,76.83,82.46,104.18,105.47,90.06,101.3,64.9,72.68,112.22,70.63,48.7,,27,965,36,26.43,
31.10.22 14:43:28,15.8,92.77,105.8,66.23,109.06,101.6,83.38,105.7,80.31,82.5,87.55,91.01,87.15,102.07,76.42,81.77,104.03,105.47,89.92,101.01,64.33,72.29,112.22,69.81,48.16,,27,965,36,26.46,
31.10.22 14:43:43,16.05,92.77,105.5,65.83,109.22,101.6,83.38,105.7,80.04,82.5,87.4,91.15,87.01,101.92,75.86,81.63,104.03,105.47,89.62,101.15,63.61,72.03,112.22,69.26,47.76,,27,965,36,26.46,
31.10.22 14:43:58,16.3,92.63,105.5,65.83,109.22,101.31,82.84,105.85,79.77,82.5,87.11,91.15,86.58,102.07,75.59,81.22,104.03,105.32,89.48,101.01,62.76,71.64,112.22,68.58,47.23,,27,965,36,26.47,
31.10.22 14:44:13,16.55,92.49,105.8,65.3,109.22,101.6,82.84,105.85,79.36,82.5,87.11,91.15,86.58,102.07,75.03,81.35,104.18,105.62,89.33,101.3,62.47,71.25,112.38,68.18,46.82,,27,965,36,26.47,
31.10.22 14:44:28,16.8,92.49,105.8,65.3,109.38,101.45,82.43,106,78.95,82.22,86.82,91.15,86.58,101.92,74.48,81.08,104.18,105.47,89.04,101.3,61.91,70.73,112.22,67.77,46.42,,27,965,36,26.47,
31.10.22 14:44:43,17.05,92.35,105.8,64.9,109.53,101.6,82.57,106,78.82,82.08,86.53,91.3,86.43,102.22,74.21,80.8,104.33,105.62,89.04,101.15,61.62,70.47,112.38,67.09,46.02,,27,965,36,26.47,
31.10.22 14:44:58,17.3,92.21,105.8,64.5,109.53,101.31,82.16,105.85,78.27,81.53,86.24,91.15,86,102.07,73.79,80.8,103.88,105.32,88.6,101.3,60.91,70.08,112.38,66.41,45.49,,27,965,36,26.5,
31.10.22 14:45:13,17.55,92.35,105.65,64.5,109.53,101.74,81.89,106,77.87,81.81,86.53,91.3,86.14,102.36,73.52,80.39,104.33,105.62,88.46,101.44,60.49,70.08,112.54,65.87,45.22,,27,965,36,26.5,
31.10.22 14:45:28,17.8,92.21,105.95,64.23,109.69,101.74,81.62,106.15,77.73,81.53,86.1,91.3,85.85,102.36,72.97,80.11,104.33,105.62,88.31,101.3,60.06,69.56,112.54,65.34,44.56,,27,965,36,26.5,
31.10.22 14:45:43,18.05,91.93,105.8,63.84,109.38,101.74,81.76,105.85,77.46,80.98,85.66,91.3,85.42,102.22,72.56,79.56,104.33,105.47,88.17,101.3,59.5,69.17,112.38,64.53,44.16,,27,965,36,26.51,
31.10.22 14:45:58,18.3,92.07,105.8,63.84,109.84,101.6,81.89,106.15,77.33,81.25,85.95,91.3,85.57,102.36,72.29,79.56,104.48,105.92,88.17,101.44,59.22,69.05,112.54,64.53,44.03,,27,965,36,26.51,
31.10.22 14:46:13,18.55,91.79,105.8,63.44,109.38,101.74,81.62,106,76.65,80.84,85.23,91.15,85.28,102.22,72.01,79.29,104.48,105.62,87.73,101.3,58.65,68.53,112.38,63.59,43.23,,27,965,36,26.51,
31.10.22 14:46:28,18.8,91.51,105.8,63.04,109.38,101.74,81.35,106,76.39,80.57,85.23,91.15,84.85,102.22,71.33,78.88,104.03,105.62,87.15,101.3,58.09,68.02,112.22,62.92,42.84,,27,965,36,26.54,
31.10.22 14:46:43,19.05,91.79,106.1,63.18,109.84,102.04,81.62,106.15,76.52,80.57,85.23,91.44,84.99,102.51,71.6,79.01,104.63,105.92,87.59,101.73,57.95,68.14,112.7,62.52,42.57,,27,965,36,26.54,
31.10.22 14:46:58,19.3,91.37,105.65,62.65,109.69,101.6,81.22,106,75.58,80.02,84.94,91.01,84.56,102.22,70.92,78.47,104.18,105.62,87.01,101.3,57.25,67.63,112.54,61.45,41.78,,27,965,36,26.54,
31.10.22 14:47:13,19.55,91.23,105.8,62.38,109.69,101.74,81.08,106.3,75.31,79.88,84.8,91.15,84.27,102.51,70.78,78.05,104.33,105.62,86.58,101.3,56.97,67.12,112.38,60.79,41.39,,27,965,36,26.54,
31.10.22 14:47:28,19.8,91.37,105.95,62.12,109.38,101.89,81.49,106.15,75.04,79.74,84.65,91.3,84.13,102.66,70.65,78.05,104.33,105.92,86.58,101.58,56.41,66.86,112.54,60.26,41.12,,27,965,36,26.54,
31.10.22 14:47:43,20.05,91.09,106.1,61.99,109.53,101.74,80.81,106.15,74.51,79.6,84.37,91.15,83.98,102.36,70.1,77.64,104.48,105.77,86.58,101.58,55.99,66.6,112.38,59.86,40.73,,27,965,36,26.55,
31.10.22 14:47:58,20.3,91.23,106.1,61.73,109.84,102.04,81.22,106.15,74.24,79.6,84.37,91.44,83.98,102.51,69.97,77.64,104.48,105.77,86.43,101.44,55.57,66.09,112.7,59.2,40.47,,27,965,36,26.57,
31.10.22 14:48:13,20.55,91.09,106.1,61.33,109.69,101.74,80.54,106.15,73.97,79.19,83.93,91.44,83.84,102.66,69.56,77.24,104.48,105.92,86,101.58,54.88,65.84,112.7,58.94,40.07,,27,965,36,26.57,
31.10.22 14:48:29,20.82,90.95,105.95,61.07,109.84,101.89,80.14,106.3,73.57,79.06,83.79,91.01,83.7,102.51,69.29,76.96,104.78,105.92,85.85,101.44,54.18,65.46,112.7,58.28,39.81,,27,965,36,26.58,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
