Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.10.22 14:34:58,7.3,94.83,98.42,56.2,78.61,71.58,80.88,81.37,100.15,97.8,98.55,102.08,101.32,99.71,87.11,89.08,85.26,73.25,114.37,82.73,108.4,87.66,106.3,103.12,89.29,,30,965,36,28.34,
31.10.22 14:35:13,7.55,94.97,98.42,56.08,78.48,71.58,80.74,81.65,100.29,97.94,98.69,102.08,101.32,99.71,87.11,89.22,84.97,72.84,114.53,82.87,108.55,87.66,106.47,103.42,89.43,,30,965,36,28.36,
31.10.22 14:35:28,7.8,94.97,98.56,55.83,78.34,71.05,80.74,81.51,100.44,97.8,98.84,102.22,101.32,99.85,86.83,89.08,84.68,72.57,114.53,82.73,108.55,87.38,106.12,103.57,89,,30,965,36,28.38,
31.10.22 14:35:43,8.05,94.97,98.71,55.58,78.08,71.05,80.46,81.51,100.29,97.94,98.84,102.22,101.46,100,86.55,88.93,84.39,72.16,114.7,82.87,108.71,87.38,105.77,103.57,89,,30,965,36,28.41,
31.10.22 14:35:58,8.3,94.97,98.85,55.33,77.81,70.65,80.05,81.23,100.44,97.8,98.84,102.37,101.46,100.15,86.69,88.65,84.1,71.75,114.7,82.59,108.71,87.38,105.24,103.57,88.85,,30,965,36,28.42,
31.10.22 14:36:13,8.55,95.11,98.71,54.96,77.55,70.52,79.64,81.23,100.59,98.09,98.98,102.37,101.61,100.15,86.55,88.36,83.67,71.34,114.7,82.59,108.87,87.38,105.07,103.72,88.71,,30,965,36,28.42,
31.10.22 14:36:28,8.8,94.97,98.71,54.71,77.28,70.26,79.37,81.09,100.29,97.94,98.84,102.37,101.46,99.85,86.13,87.93,83.23,70.94,114.53,82.45,108.71,87.09,104.54,103.72,87.85,,30,965,36,28.45,
31.10.22 14:36:43,9.05,94.97,98.56,54.46,77.02,69.86,78.96,80.96,100.44,97.94,98.84,102.08,101.46,100,85.71,87.36,83.09,70.8,114.7,82.45,108.71,86.95,104.36,103.72,87.7,,30,965,36,28.48,
31.10.22 14:36:58,9.3,94.97,98.85,54.09,76.62,69.6,78.96,80.54,100.44,97.94,98.98,102.52,101.32,100.15,85.71,87.22,82.65,70.4,114.87,82.32,108.71,86.95,104.01,103.57,87.27,,30,965,36,28.49,
31.10.22 14:37:13,9.55,95.11,98.85,54.09,76.49,69.6,78.82,80.54,100.73,98.09,98.98,102.52,101.61,100.29,85.71,86.94,82.22,70.13,114.7,82.32,109.03,86.95,104.01,103.87,87.27,,30,965,36,28.49,
31.10.22 14:37:28,9.8,95.11,98.99,53.72,76.35,69.21,78.69,80.54,100.73,98.24,99.13,102.52,101.61,100.29,85.15,86.65,81.65,69.86,114.87,82.18,109.03,86.95,103.66,103.72,86.84,,30,965,36,28.52,
31.10.22 14:37:43,10.05,95.26,98.99,53.47,76.35,69.21,78.69,80.54,100.88,98.24,99.27,102.67,101.9,100.59,85.43,86.65,81.5,69.72,115.2,82.32,109.18,86.95,103.66,104.17,86.56,,30,965,36,28.53,
31.10.22 14:37:58,10.3,95.26,99.14,53.1,76.09,68.81,78.14,80.27,100.73,98.24,99.27,102.67,101.9,100.44,84.87,86.23,81.07,69.32,115.2,82.18,109.18,86.81,102.96,103.87,86.27,,30,965,36,28.55,
31.10.22 14:38:13,10.55,95.26,98.99,52.85,75.96,68.29,78,79.99,100.88,98.38,99.13,102.82,101.9,100.44,84.87,86.08,80.78,68.78,115.2,82.04,109.18,86.81,103.14,104.02,85.98,,30,965,36,28.56,
31.10.22 14:38:28,10.8,95.26,99.14,52.61,75.83,68.55,77.87,79.85,101.03,98.38,99.42,102.97,101.9,100.59,84.59,85.94,80.35,68.64,115.2,82.18,109.34,86.95,102.96,104.32,85.41,,30,965,36,28.59,
31.10.22 14:38:43,11.05,95.26,98.99,52.36,75.43,67.9,77.6,79.31,100.88,98.53,99.13,102.97,102.05,100.44,84.17,85.66,79.64,68.37,115.37,81.9,109.18,86.67,102.44,104.02,84.56,,30,965,36,28.6,
31.10.22 14:38:58,11.3,95.26,99.14,52.12,75.56,67.77,77.32,79.17,101.03,98.38,99.42,102.97,101.9,100.59,83.76,85.38,79.21,68.24,115.2,82.18,109.34,86.67,102.26,104.17,84.42,,30,965,36,28.6,
31.10.22 14:39:13,11.55,95.4,99.14,51.75,75.17,67.5,77.05,78.9,100.73,98.38,99.42,102.82,101.9,100.59,83.34,84.95,78.78,67.84,115.37,81.9,109.18,86.67,101.91,104.17,83.99,,30,965,36,28.63,
31.10.22 14:39:28,11.8,95.54,99.42,51.63,75.04,67.37,76.78,78.76,101.32,98.68,99.42,103.12,102.34,100.88,83.34,84.67,78.64,67.84,115.7,82.18,109.5,86.67,101.74,104.47,83.85,,30,965,36,28.63,
31.10.22 14:39:43,12.05,95.26,99.28,51.13,74.64,66.98,76.51,78.35,101.17,98.53,99.56,102.97,102.2,100.59,82.79,84.11,77.92,67.44,115.37,81.9,109.34,86.53,101.22,104.32,83.42,,30,965,36,28.66,
31.10.22 14:39:58,12.3,95.4,99.57,51.01,74.51,66.85,76.38,78.21,101.32,98.82,99.71,103.12,102.34,101.03,82.51,83.96,77.64,67.3,115.87,82.18,109.82,86.67,100.87,104.47,83,,30,965,36,28.67,
31.10.22 14:40:13,12.55,95.4,99.28,50.52,74.12,66.33,76.11,77.8,101.17,98.68,99.71,103.12,102.2,100.59,82.23,83.54,77.21,66.77,115.37,81.9,109.5,86.39,100,104.17,82.57,,30,965,36,28.7,
