Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 14:03:14,6.78,87.95,89.75,85.61,84.13,97.22,76.86,85.82,81.78,88.29,83.28,87.1,95.63,84.92,99.85,87.7,87.15,88.1,92.83,81.76,78.84,101.32,81.14,80.96,92.43,,30,965,36,28.24,
30.10.22 14:03:29,7.03,87.8,89.47,85.32,84.13,97.22,76.31,85.53,81.5,88,82.58,86.82,95.63,84.64,99.85,87.56,87.15,87.96,92.52,81.06,78.55,101.32,80.69,80.82,91.99,,30,965,36,28.24,
30.10.22 14:03:44,7.28,87.66,89.33,85.04,83.58,97.37,76.04,85.39,81.36,87.86,81.88,86.54,95.77,84.22,99.71,87.27,87,87.82,92.52,80.22,78.4,101.32,80.24,80.54,92.28,,30,965,36,28.25,
30.10.22 14:03:59,7.53,87.52,89.19,84.76,83.58,97.37,75.9,85.11,81.5,87.86,81.6,86.54,95.77,84.5,100.15,87.42,87,87.96,92.68,79.67,78.4,101.32,80.24,80.4,92.14,,30,965,36,28.28,
30.10.22 14:04:14,7.78,87.23,89.04,84.48,83.03,97.37,75.49,84.69,81.08,87.72,81.04,86.54,95.91,84.08,100.15,87.13,86.86,87.67,92.37,79.12,78.12,101.61,79.65,80.13,92.14,,30,965,36,28.28,
30.10.22 14:04:29,8.03,87.23,88.62,84.2,82.62,97.22,75.21,84.26,80.94,87.29,80.48,86.11,95.63,83.66,100,86.84,86.86,87.53,92.06,78.42,77.54,101.46,79.5,79.57,91.99,,30,965,36,28.31,
30.10.22 14:04:44,8.28,86.95,88.2,83.78,82.2,97.08,74.8,83.84,80.52,87,80.07,85.83,95.77,83.38,99.71,86.7,86.56,87.25,91.75,78.29,77.25,101.61,79.06,79.16,91.99,,30,965,36,28.31,
30.10.22 14:04:59,8.53,86.67,87.63,83.5,81.79,97.08,74.39,83.28,80.24,86.86,79.79,85.55,95.63,82.96,100,86.41,86.42,86.96,91.75,77.87,76.97,101.46,78.61,78.74,91.84,,30,965,36,28.33,
30.10.22 14:05:14,8.78,86.52,87.21,83.36,81.52,97.08,74.39,83,79.96,86.57,79.65,85.12,95.63,82.68,100,86.41,86.42,86.68,91.45,77.6,76.82,101.46,78.46,78.47,91.55,,30,965,36,28.35,
30.10.22 14:05:29,9.03,86.38,87.21,83.22,81.52,97.22,74.39,82.72,79.96,86.57,79.09,84.98,95.77,82.54,100.44,86.41,86.42,86.68,91.45,77.6,76.68,101.61,78.46,78.61,91.7,,30,965,36,28.35,
30.10.22 14:05:44,9.28,86.1,86.79,82.67,80.97,96.93,73.85,82.16,79.4,86.14,78.82,84.84,95.77,82.27,100.15,85.84,86.27,86.54,91.14,77.05,76.11,101.76,78.17,78.19,91.55,,30,965,36,28.35,
30.10.22 14:05:59,9.53,85.82,86.22,82.53,80.56,96.79,73.57,82.02,78.99,86,78.68,84.56,95.48,81.85,100.15,85.98,86.12,86.11,90.68,76.36,75.96,101.9,77.87,77.64,91.41,,30,965,36,28.38,
30.10.22 14:06:14,9.78,85.67,85.94,82.39,80.29,97.08,73.3,81.74,78.71,85.71,78.26,84.56,95.63,81.71,100.15,85.84,86.12,86.11,90.53,75.95,75.68,101.76,77.72,77.23,91.26,,30,965,36,28.39,
30.10.22 14:06:29,10.03,85.39,85.66,82.25,80.02,97.08,72.89,81.46,78.43,85.57,77.85,84,95.63,81.57,100.15,85.84,85.98,86.11,90.53,75.54,75.68,102.05,77.43,76.82,91.26,,30,965,36,28.41,
30.10.22 14:06:44,10.28,85.25,85.1,81.83,79.74,96.79,72.35,81.18,78.29,85.29,77.57,84,95.48,81.02,100.29,85.56,85.83,85.69,90.22,75.27,75.25,102.05,76.84,76.55,91.11,,30,965,36,28.42,
30.10.22 14:06:59,10.53,84.83,84.41,81.41,79.06,96.79,71.81,80.34,77.74,84.86,76.89,83.44,95.34,80.6,100.15,85.13,85.54,85.41,89.76,74.72,74.68,101.76,76.4,76.27,90.97,,30,965,36,28.42,
30.10.22 14:07:14,10.78,84.54,83.85,81.28,78.93,96.64,71.4,80.07,77.04,84.72,76.89,83.44,95.05,80.33,100,84.99,85.39,85.12,89.76,74.17,74.54,101.61,75.96,75.86,90.67,,30,965,36,28.44,
30.10.22 14:07:29,11.03,84.26,83.57,81,78.79,96.79,71,79.93,76.9,84.72,76.75,83.16,95.34,80.46,100.15,84.99,85.39,85.12,89.76,73.63,74.25,101.9,75.66,75.59,90.82,,30,965,36,28.46,
30.10.22 14:07:44,11.28,84.12,82.87,80.72,78.39,96.64,70.46,79.65,76.49,84.43,76.47,82.73,95.05,80.05,100,84.84,85.25,84.84,89.61,73.36,73.82,102.05,75.07,75.18,90.82,,30,965,36,28.48,
30.10.22 14:07:59,11.53,83.84,82.46,80.31,78.11,96.79,69.65,79.37,76.08,84.29,75.92,82.73,95.05,79.77,100,84.56,84.81,84.42,89.46,72.95,73.54,101.76,74.49,74.63,90.38,,30,965,36,28.49,
30.10.22 14:08:14,11.78,83.7,82.32,80.31,78.11,96.93,69.51,79.09,75.94,84.29,75.79,82.73,95.19,79.64,100.15,84.42,85.1,84.56,89.3,72.81,73.54,102.05,74.05,74.63,90.67,,30,965,36,28.49,
30.10.22 14:08:29,12.03,83.14,81.63,79.75,77.71,96.64,69.11,78.68,75.66,83.87,75.38,82.45,95.05,79.22,99.85,84.27,84.81,84.28,88.85,72.41,72.69,102.05,73.9,74.36,90.38,,30,965,36,28.52,
30.10.22 14:08:44,12.28,83.14,81.49,79.75,77.57,97.08,68.98,78.4,75.66,83.87,75.38,82.32,95.05,78.95,100.15,84.27,84.67,84.14,88.85,72.14,72.55,102.05,73.61,74.36,90.24,,30,965,36,28.52,
30.10.22 14:08:59,12.53,82.72,81.21,79.34,77.3,96.93,68.44,77.99,75.25,83.44,75.1,82.04,94.9,78.81,100,83.99,84.52,84,88.54,71.6,72.26,102.05,73.32,74.09,89.95,,30,965,36,28.53,
