Measurement Name :,20221029_SDR641_cohort20221021_HOT_WT,,Generated On :,"29/10/2022, 15:21:18",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
29.10.22 15:05:30,13.05,91.39,106.33,88.94,80.25,86.52,72.94,76.82,75.1,105.21,78.87,99.54,68.18,94.59,71.09,77.6,88.04,100.3,87.2,84.03,91.68,58.76,48.56,66.91,50.06,,27,965,36,26.19,
29.10.22 15:05:45,13.3,91.54,106.49,88.94,79.77,86.37,72.8,76.54,74.96,105.06,78.59,99.69,67.9,94.59,70.81,77.17,87.9,100.6,86.9,84.03,91.52,58.49,48.42,66.64,49.81,,27,965,36,26.19,
29.10.22 15:06:00,13.55,91.39,106.33,88.65,79.12,85.94,72.25,76.26,74.55,105.21,78.59,99.38,67.08,94.29,70.4,76.61,87.31,100.3,86.61,83.45,90.9,58.09,48.02,66.36,49.43,,27,965,36,26.22,
29.10.22 15:06:15,13.8,91.09,106.33,88.65,78.8,85.65,72.25,76.26,74.13,105.21,78.3,99.23,66.81,94.29,70.26,76.47,87.6,100.3,86.31,83.45,91.21,57.82,47.89,66.23,49.56,,27,965,36,26.22,
29.10.22 15:06:30,14.05,90.94,106.49,88.36,78.48,85.5,72.25,75.7,73.71,104.9,77.74,99.08,66.4,94.14,69.85,76.05,87.16,100,86.17,83.45,90.9,57.28,47.89,65.95,49.68,,27,965,36,26.22,
29.10.22 15:06:45,14.3,90.94,106.49,88.36,78,85.5,71.42,75.7,73.3,105.21,77.74,99.08,66.26,94.29,69.58,76.05,87.31,100.15,85.87,83.02,90.75,56.75,47.89,65.82,49.93,,27,965,36,26.24,
29.10.22 15:07:00,14.55,90.94,106.49,88.36,77.19,85.36,71.01,75.42,72.6,105.21,77.45,99.08,65.72,93.99,68.89,75.49,86.58,100,85.87,82.87,90.29,56.48,47.36,65.27,50.06,,27,965,36,26.26,
29.10.22 15:07:15,14.8,90.94,106.33,88.07,76.71,85.21,70.6,75.28,72.47,104.9,76.75,98.92,65.72,93.84,68.62,75.36,86.72,99.85,85.58,82.73,90.44,56.21,47.1,65,50.19,,27,965,36,26.24,
29.10.22 15:07:30,15.05,90.94,106.64,88.22,76.55,85.36,70.19,75.42,72.33,105.36,76.75,99.08,65.58,93.99,68.76,75.22,86.43,100.15,85.43,82.73,90.29,55.41,46.83,64.87,50.44,,27,965,36,26.25,
29.10.22 15:07:45,15.3,90.94,106.64,87.93,76.07,84.93,70.19,75,72.05,105.36,76.46,98.92,65.31,93.99,68.35,74.52,85.99,99.85,85.14,82.44,90.29,54.35,46.17,64.46,50.44,,27,965,36,26.28,
29.10.22 15:08:00,15.55,90.79,106.64,87.78,75.43,84.64,69.92,75,71.64,105.21,76.18,98.61,64.63,93.84,67.94,74.24,85.99,99.85,84.84,82.3,89.67,54.22,45.52,64.32,50.19,,27,965,36,26.28,
29.10.22 15:08:15,15.8,90.65,106.49,87.64,74.95,84.49,69.64,74.72,71.36,105.21,75.76,98.77,64.36,93.7,67.39,74.24,85.85,99.55,84.55,82.01,89.51,53.69,45.38,64.05,50.44,,27,965,36,26.29,
29.10.22 15:08:30,16.05,90.5,106.49,87.5,74.32,84.06,69.37,74.3,70.95,105.21,75.62,98.61,64.36,93.55,67.12,73.82,85.27,99.7,84.11,81.87,89.67,53.29,44.73,63.92,50.44,,27,965,36,26.3,
29.10.22 15:08:45,16.3,90.35,106.64,87.21,73.84,84.06,69.1,74.16,70.81,105.21,75.34,98.46,63.95,93.7,66.85,73.82,84.97,99.55,83.97,81.87,89.36,52.63,44.33,63.92,50.19,,27,965,36,26.29,
29.10.22 15:09:00,16.55,90.2,106.79,87.21,73.2,83.48,68.82,73.88,70.67,105.21,74.64,98.31,63.68,93.4,66.58,73.41,85.27,99.4,83.82,81.58,89.05,52.1,44.07,63.64,50.06,,27,965,36,26.32,
29.10.22 15:09:15,16.8,90.2,106.64,86.92,72.73,83.34,68.55,73.6,70.54,105.21,74.64,98.46,63.41,93.4,66.44,73.41,84.68,99.26,83.23,81.58,89.05,51.58,43.55,63.37,49.81,,27,965,36,26.32,
29.10.22 15:09:30,17.05,90.2,106.64,86.92,72.1,83.34,68.28,73.46,70.13,105.21,74.36,98.31,63.01,93.4,65.9,73.13,84.39,98.96,83.09,81.58,88.9,51.05,43.29,63.1,49.81,,27,965,36,26.33,
29.10.22 15:09:45,17.3,90.2,106.79,86.78,71.46,82.91,67.6,73.32,69.99,105.21,74.22,98.46,62.87,93.25,65.77,72.99,84.39,99.11,82.8,81.3,88.59,50.66,43.02,62.83,49.43,,27,965,36,26.35,
29.10.22 15:10:00,17.55,89.9,106.79,86.78,70.99,83.05,67.33,73.32,69.99,105.36,73.94,98.15,62.6,93.1,65.22,72.85,83.96,99.4,82.21,81.3,88.59,50,42.76,62.56,48.8,,27,965,36,26.35,
29.10.22 15:10:15,17.8,89.75,106.79,86.49,70.52,82.77,67.33,73.04,69.71,105.52,73.8,98.31,62.2,93.1,64.82,72.58,83.96,98.81,82.07,81.3,88.28,49.48,42.37,62.16,48.17,,27,965,36,26.36,
29.10.22 15:10:30,18.05,89.61,106.94,86.63,70.52,82.77,67.19,73.04,69.71,105.67,73.38,98.15,62.33,93.1,64.55,72.44,83.96,98.96,81.92,81.15,88.44,48.95,42.24,62.16,47.8,,27,965,36,26.38,
29.10.22 15:10:45,18.3,89.31,107.1,86.34,70.36,82.62,67.06,73.04,69.58,105.52,73.1,98,62.2,92.95,64.01,72.16,83.52,98.96,81.49,81.01,88.44,48.3,42.11,61.89,47.42,,27,965,36,26.38,
29.10.22 15:11:00,18.55,89.01,106.79,86.06,69.73,82.48,66.78,72.35,69.03,105.21,72.68,97.85,61.66,92.51,63.47,71.88,83.23,98.66,81.2,80.58,87.82,47.52,41.46,60.95,46.67,,27,965,36,26.38,
29.10.22 15:11:15,18.8,89.01,107.1,86.2,69.1,82.19,66.65,72.63,68.76,105.36,72.26,98,61.66,92.21,63.34,71.75,83.23,98.81,81.05,80.58,87.82,47.13,41.46,61.08,46.67,,27,965,36,26.39,
29.10.22 15:11:30,19.05,88.72,106.94,85.77,67.85,82.19,66.51,72.35,68.35,105.21,72.12,97.85,61.66,92.21,62.94,71.33,82.8,98.51,80.76,80.29,87.52,46.35,41.07,60.41,46.55,,27,965,36,26.4,
29.10.22 15:11:45,19.3,88.42,106.94,85.63,67.06,82.05,66.92,72.21,68.35,105.36,71.7,97.85,61.39,92.06,62.53,70.78,82.8,98.36,80.76,80.44,87.36,45.71,40.68,60.28,46.42,,27,965,36,26.4,
29.10.22 15:12:00,19.55,88.27,106.94,85.34,66.28,81.62,66.92,72.07,68.21,105.06,71.56,97.69,61.39,91.77,62.13,70.37,82.51,98.36,80.18,80.29,86.9,45.19,40.29,59.61,46.3,,27,965,36,26.41,
29.10.22 15:12:15,19.8,88.13,106.94,85.34,65.66,81.48,66.65,71.79,68.07,105.36,71.15,97.54,61.26,91.47,61.73,70.23,82.51,98.36,80.04,80.29,86.75,44.29,40.29,59.21,46.3,,27,965,36,26.41,
29.10.22 15:12:30,20.05,87.68,106.94,85.05,64.73,81.19,66.24,71.93,67.53,105.21,70.87,97.39,61.53,91.33,61.2,69.68,82.08,98.07,79.75,79.58,86.44,43.39,39.65,58.81,46.18,,27,965,36,26.43,
29.10.22 15:12:45,20.3,87.39,107.1,84.91,64.57,81.19,65.57,71.52,67.26,105.36,70.59,97.23,61.79,91.33,60.93,69.54,81.93,98.22,79.46,79.58,86.44,42.88,39.52,58.54,45.68,,27,965,36,26.44,
29.10.22 15:13:00,20.55,87.39,107.1,84.91,63.95,81.05,65.7,71.24,67.26,105.52,70.32,97.54,62.2,91.18,60.53,69.41,81.93,98.07,79.32,79.44,86.29,42.88,38.87,58.14,45.8,,27,965,36,26.46,
29.10.22 15:13:15,20.8,87.09,107.1,84.91,63.33,80.76,65.43,71.1,66.99,105.36,70.04,97.39,62.2,90.88,60.26,69.27,81.93,97.77,79.32,79.44,86.14,42.36,38.23,57.87,45.43,,27,965,36,26.46,
29.10.22 15:13:30,21.05,86.8,107.1,84.91,63.02,80.76,65.43,70.69,66.85,105.36,69.76,97.39,62.06,91.03,60,69,81.79,97.92,79.17,79.44,86.14,41.85,37.33,57.34,45.3,,27,965,36,26.47,
29.10.22 15:13:45,21.3,86.51,107.1,84.62,62.25,80.62,65.16,70.69,66.31,105.52,69.07,97.23,62.2,90.59,59.47,68.72,81.5,97.77,78.88,78.87,85.83,41.47,36.56,57.08,44.68,,27,965,36,26.47,
29.10.22 15:14:00,21.55,86.21,106.94,84.34,62.1,80.34,64.76,70.41,65.9,105.21,68.8,96.93,62.2,90.29,59.07,68.31,81.22,97.48,78.45,78.59,85.68,41.34,35.66,56.68,44.44,,27,965,36,26.49,
29.10.22 15:14:15,21.8,86.07,107.1,84.19,61.64,80.05,64.49,70.14,65.9,105.52,68.25,96.93,61.93,90.29,58.67,68.18,80.93,97.48,78.31,78.59,85.53,41.09,35.15,56.55,44.31,,27,965,36,26.49,
29.10.22 15:14:30,22.05,85.77,107.1,83.77,61.48,80.05,64.22,69.86,65.77,105.36,67.83,96.77,61.79,90.15,58.41,68.04,80.5,97.33,78.31,78.59,85.53,40.71,34.52,56.02,44.19,,27,965,36,26.5,
29.10.22 15:14:45,22.3,85.63,107.1,83.91,60.71,79.77,64.09,69.72,65.63,105.36,67.42,96.77,61.79,90,58.01,67.9,80.21,97.48,77.88,78.44,84.92,40.96,34.26,55.62,44.19,,27,965,36,26.5,
29.10.22 15:15:00,22.55,85.33,107.25,83.48,60.41,79.48,64.09,69.59,65.22,105.36,67.01,96.77,61.53,89.71,57.88,67.5,80.07,97.18,77.73,78.3,84.92,40.96,34.01,55.49,44.19,,27,965,36,26.5,
29.10.22 15:15:15,22.8,84.89,106.94,83.2,59.95,78.92,63.82,69.31,65.09,105.21,66.19,96.47,61.12,89.56,57.22,67.22,79.49,96.89,77.02,77.88,84.46,40.96,33.88,54.96,43.82,,27,965,36,26.51,
29.10.22 15:15:30,23.05,84.6,107.1,82.77,59.79,78.92,63.68,69.31,64.95,105.36,65.78,96.32,61.12,89.27,56.82,66.95,78.92,96.74,76.59,77.59,84.46,40.58,33.63,54.57,43.69,,27,965,36,26.53,
29.10.22 15:15:45,23.3,84.16,107.1,82.63,59.33,78.63,63.95,69.04,64.68,105.21,65.24,96.32,60.99,88.97,56.56,66.41,78.64,97.03,76.16,77.45,84.01,40.58,33.5,54.3,43.69,,27,965,36,26.53,
29.10.22 15:16:00,23.55,84.02,107.1,82.49,59.03,78.21,64.09,68.9,64.42,105.36,64.69,96.01,60.86,89.12,56.04,66.54,78.21,96.89,75.73,77.03,84.31,40.2,33.5,53.91,43.57,,27,965,36,26.54,
29.10.22 15:16:15,23.8,83.87,107.1,82.49,58.11,77.92,63.82,68.76,64.42,105.52,64.42,96.16,60.45,88.83,56.04,66.14,78.21,96.89,75.3,76.75,84.16,40.07,33.63,53.91,44.07,,27,965,36,26.54,
29.10.22 15:16:30,24.05,83.58,107.1,82.2,57.04,77.92,63.42,68.35,64.15,105.52,63.88,95.71,59.78,88.68,55.51,66,77.5,96.59,74.73,76.18,83.7,39.56,33.25,53.12,43.94,,27,965,36,26.55,
29.10.22 15:16:45,24.3,83.29,107.1,81.92,56.28,77.36,63.01,68.21,63.61,105.36,63.6,95.71,59.38,88.39,54.99,65.73,77.36,96.59,74.3,76.32,83.86,39.56,32.87,52.99,43.69,,27,965,36,26.55,
29.10.22 15:17:00,24.55,82.85,107.25,81.92,55.53,77.36,62.88,67.66,63.88,105.36,63.47,95.4,59.12,88.09,55.12,65.46,77.07,96.59,74.02,75.9,83.55,39.44,32.74,52.6,43.08,,27,965,36,26.55,
29.10.22 15:17:15,24.8,82.85,107.25,81.63,54.77,77.36,62.35,67.53,63.47,105.21,62.79,95.25,58.58,87.95,54.73,65.05,76.93,96.15,73.45,75.76,83.4,39.06,32.61,52.47,42.71,,27,965,36,26.57,
