Measurement Name :,20221027_SDR710_WT_AMB,,Generated On :,"27/10/2022, 16:41:44",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
27.10.22 15:57:47,0.28,95.21,93.08,91.5,82.87,88.9,82.77,94.4,87.98,87.05,93.99,87.48,88.43,84.85,88.91,83.05,83.34,84.31,86.34,80.78,86.17,86.79,83.87,89.21,79.43,,30,965,36,28.5,
27.10.22 15:58:02,0.53,96.51,94.23,91.92,83.56,89.61,83.9,94.99,88.69,87.91,94.72,88.05,89.14,85.83,89.62,83.76,84.05,84.87,87.25,81.33,86.76,87.91,84.62,90.06,79.98,,30,965,36,28.41,
27.10.22 15:58:17,0.78,97.53,94.8,92.92,84.24,90.46,84.32,95.28,89.12,88.77,95.3,88.62,89.43,86.39,90.33,84.18,84.05,85.72,88.02,82.01,87.35,88.6,85.52,90.91,80.96,,30,965,36,28.35,
27.10.22 15:58:32,1.03,98.11,95.37,93.06,84.38,91.32,84.75,95.72,89.26,89.63,96.18,88.77,90.14,86.95,90.9,84.75,84.48,86.14,88.78,82.43,87.79,89.3,85.83,91.76,81.52,,30,965,36,28.31,
27.10.22 15:58:47,1.28,98.83,96.24,93.64,85.06,92.18,85.6,96.16,90.26,90.06,96.91,89.77,90.57,87.8,91.76,85.17,84.91,86.71,89.55,82.98,88.23,89.87,86.58,92.48,82.22,,30,965,36,28.3,
27.10.22 15:59:02,1.53,99.42,96.24,93.78,85.06,92.32,85.46,96.45,90.12,90.49,97.06,89.77,90.43,88.08,92.04,85.17,85.19,87.13,90.01,83.12,88.23,90.29,86.73,92.76,82.51,,30,965,36,28.31,
27.10.22 15:59:17,1.78,100,96.96,93.92,85.61,93.04,86.03,96.75,90.84,91.21,97.79,90.06,90.71,88.5,92.61,85.6,85.34,87.56,90.63,83.81,88.53,90.71,86.88,93.34,82.79,,30,965,36,28.28,
27.10.22 15:59:32,2.03,100.29,97.1,94.35,85.89,93.47,86.17,97.04,90.98,91.5,97.94,90.2,90.71,88.78,92.9,85.88,85.48,87.84,90.94,84.08,88.53,90.99,87.34,93.62,83.07,,30,965,36,28.3,
27.10.22 15:59:47,2.28,100.73,97.68,94.35,85.75,93.75,86.45,97.19,90.84,91.65,98.23,90.64,90.85,89.07,93.04,86.03,85.48,88.12,91.24,84.36,88.53,91.27,87.19,93.91,83.35,,30,965,36,28.3,
27.10.22 16:00:02,2.53,101.02,98.11,95.07,86.03,94.19,87.03,97.63,91.27,92.23,98.82,91.21,91.28,89.49,93.76,86.45,85.91,88.55,91.86,84.78,88.83,91.55,87.49,94.49,83.77,,30,965,36,28.3,
27.10.22 16:00:17,2.78,101.32,98.26,94.78,86.17,94.47,86.88,97.63,91.12,92.08,99.26,91.21,91.28,89.49,94.05,86.6,85.77,88.84,92.02,85.05,88.83,91.41,87.34,94.49,83.92,,30,965,36,28.31,
27.10.22 16:00:32,3.03,101.46,98.11,94.93,86.03,94.62,87.03,98.07,91.41,92.52,99.26,91.21,91.14,89.92,94.19,86.74,85.77,88.98,92.33,85.05,88.83,91.41,87.49,94.77,83.92,,30,965,36,28.33,
27.10.22 16:00:47,3.28,101.32,98.11,94.64,86.3,94.62,87.17,97.78,91.41,92.52,99.41,91.36,91.14,89.92,94.48,86.74,85.91,89.12,92.48,85.19,88.53,91.41,87.34,94.77,83.77,,30,965,36,28.35,
27.10.22 16:01:02,3.53,102.05,98.55,95.07,86.44,95.05,87.31,98.37,91.41,92.81,100,91.5,91.28,89.92,94.77,86.88,85.77,89.26,92.95,85.19,88.53,91.13,87.49,94.92,84.06,,30,965,36,28.35,
27.10.22 16:01:17,3.78,102.05,98.55,94.78,86.3,95.05,87.31,98.07,91.55,92.95,100.15,91.5,91.28,90.06,95.06,86.88,85.77,89.41,92.79,85.33,88.53,90.71,87.19,94.92,84.2,,30,965,36,28.38,
27.10.22 16:01:32,4.03,101.76,98.55,94.93,86.03,95.2,87.17,98.37,91.55,92.66,100.3,91.79,91.28,90.2,95.06,86.88,85.77,89.55,93.26,85.61,88.53,90.71,87.34,95.21,84.48,,30,965,36,28.38,
27.10.22 16:01:47,4.28,102.2,98.4,94.93,85.89,95.34,87.45,98.37,91.84,92.81,100.74,92.23,91.43,90.2,95.34,86.88,85.91,89.41,93.1,85.47,88.38,90.85,87.04,95.21,84.48,,30,965,36,28.38,
27.10.22 16:02:02,4.53,102.2,98.55,94.78,85.75,95.34,87.31,98.22,91.41,92.81,100.44,91.94,91.28,90.34,95.63,86.88,85.62,89.55,93.1,85.61,88.23,90.71,86.88,95.21,84.34,,30,965,36,28.41,
27.10.22 16:02:17,4.78,102.49,98.84,94.78,85.34,95.48,87.31,98.37,91.55,92.81,100.74,91.94,91.28,90.2,95.92,86.74,85.48,89.41,93.41,85.75,88.09,90.71,86.88,95.35,84.62,,30,965,36,28.42,
27.10.22 16:02:32,5.03,102.64,98.84,95.07,85.2,95.77,87.6,98.37,91.84,92.81,100.74,91.94,91.28,90.34,95.92,86.88,85.62,89.41,93.41,85.75,88.09,90.85,86.73,95.35,84.34,,30,965,36,28.42,
27.10.22 16:02:47,5.28,102.49,98.69,94.78,84.65,95.63,87.45,98.22,91.55,92.52,101.19,92.08,91.28,90.34,96.07,86.6,85.34,89.12,93.57,85.75,87.64,90.85,86.43,95.35,83.92,,30,965,36,28.45,
27.10.22 16:03:02,5.53,102.64,98.69,94.93,84.79,95.77,87.31,98.37,91.7,92.66,101.33,91.94,91,90.34,96.07,86.74,85.19,88.98,93.72,85.89,87.79,91.13,86.43,95.64,84.06,,30,965,36,28.46,
27.10.22 16:03:17,5.78,102.64,98.69,94.93,84.79,95.77,87.45,98.52,91.7,92.66,101.48,92.08,90.85,90.48,96.07,86.6,85.05,88.84,93.57,85.89,87.64,90.99,85.98,95.64,84.06,,30,965,36,28.48,
27.10.22 16:03:32,6.03,102.64,98.69,94.64,84.38,95.77,87.31,98.37,91.41,92.81,101.19,91.79,90.28,90.34,96.07,86.45,84.62,88.55,93.57,85.89,87.35,90.99,85.52,95.35,83.63,,30,965,36,28.49,
27.10.22 16:03:47,6.28,102.64,98.55,94.78,84.51,96.06,87.17,98.52,91.55,92.66,101.48,91.79,90.57,90.63,96.21,86.45,84.62,88.55,93.57,85.89,87.05,91.13,85.83,95.35,83.35,,30,965,36,28.49,
27.10.22 16:04:02,6.53,102.64,98.69,94.64,84.1,95.63,87.17,98.52,91.55,92.66,101.63,91.65,90.14,90.34,96.21,86.17,84.19,88.41,93.41,85.61,87.05,90.99,85.52,95.49,83.35,,30,965,36,28.52,
27.10.22 16:04:17,6.78,102.94,98.69,94.64,83.83,95.63,87.17,98.22,91.7,92.52,101.63,91.5,90,90.2,96.36,86.17,83.91,88.12,93.57,85.47,86.76,90.99,85.22,95.35,83.63,,30,965,36,28.53,
27.10.22 16:04:32,7.03,102.94,98.84,94.35,83.83,95.92,87.03,98.07,91.55,92.37,101.63,91.65,89.85,90.2,96.36,86.03,83.62,88.12,93.57,85.33,87.05,90.99,84.92,95.49,83.35,,30,965,36,28.55,
27.10.22 16:04:47,7.28,103.23,98.69,94.5,83.83,95.77,87.17,98.22,91.99,92.23,101.78,91.65,89.85,90.2,96.36,85.88,83.62,87.7,93.88,85.19,86.9,91.13,84.92,95.64,83.35,,30,965,36,28.56,
27.10.22 16:05:02,7.53,103.23,98.84,94.21,83.69,95.92,87.03,98.37,91.7,92.23,102.08,91.5,89.29,90.2,96.21,85.6,83.48,86.99,93.72,85.19,86.61,91.13,84.47,95.49,83.07,,30,965,36,28.59,
27.10.22 16:05:17,7.78,103.23,98.55,94.07,83.97,95.77,86.88,98.37,91.99,92.23,101.93,91.5,89.29,89.92,96.21,85.46,83.48,86.85,93.88,85.05,86.31,91.13,84.32,95.49,83.21,,30,965,36,28.6,
27.10.22 16:05:32,8.03,103.23,98.55,94.07,83.42,96.21,86.74,98.07,91.7,92.08,101.93,91.07,89.29,89.92,96.36,85.17,82.91,86.56,93.41,85.05,86.31,91.13,83.87,95.49,83.07,,30,965,36,28.61,
27.10.22 16:05:47,8.28,103.23,98.26,94.21,83.42,95.63,86.6,97.93,91.41,92.23,101.93,90.92,89,89.63,96.07,85.03,82.63,86.71,93.41,84.92,86.02,90.99,83.27,95.35,82.93,,30,965,36,28.63,
27.10.22 16:06:02,8.53,103.38,98.4,94.07,83.28,95.63,86.6,97.93,91.41,91.94,102.23,91.21,88.72,89.63,96.21,84.89,82.63,86.42,93.57,84.92,85.72,90.85,83.12,95.35,82.93,,30,965,36,28.63,
27.10.22 16:06:17,8.78,103.38,98.11,93.64,83.14,95.63,86.74,97.78,91.12,91.65,102.08,91.07,88.43,89.49,96.07,84.75,82.34,86.42,93.26,84.92,85.58,90.71,82.82,95.21,82.79,,30,965,36,28.66,
27.10.22 16:06:32,9.03,103.23,97.82,93.64,82.87,95.34,86.45,97.63,90.84,91.65,101.93,90.78,88.01,89.07,96.07,84.32,82.06,86,92.95,84.64,85.28,90.71,82.37,95.06,82.51,,30,965,36,28.67,
27.10.22 16:06:47,9.28,103.53,97.53,93.64,83.01,95.48,86.31,97.63,90.69,91.36,102.38,90.2,87.72,89.49,95.78,84.18,82.06,86.14,93.1,84.36,85.28,90.71,82.37,95.06,82.51,,30,965,36,28.7,
27.10.22 16:07:02,9.53,103.38,97.68,93.78,83.01,95.48,86.31,97.63,90.84,91.5,102.38,90.2,87.58,89.35,96.07,84.04,81.77,86,93.1,84.22,85.14,90.85,82.07,95.21,82.36,,30,965,36,28.7,
27.10.22 16:07:17,9.78,103.67,97.39,93.64,82.87,95.63,86.45,97.78,90.55,91.65,102.52,90.06,87.72,89.21,95.92,84.04,81.49,86,93.1,83.94,84.99,90.71,81.78,95.06,82.08,,30,965,36,28.74,
27.10.22 16:07:32,10.03,103.82,96.81,93.35,82.46,95.48,86.31,97.63,90.12,91.5,102.23,89.92,87.44,89.35,95.78,83.9,81.21,85.86,93.1,84.08,84.84,90.57,81.33,95.06,81.94,,30,965,36,28.74,
27.10.22 16:07:47,10.28,103.67,96.81,93.35,82.19,95.2,86.03,97.48,90.12,91.36,102.38,89.63,86.87,89.21,95.63,83.62,80.78,85.58,92.79,83.81,84.55,90.29,81.03,94.92,81.52,,30,965,36,28.75,
27.10.22 16:08:02,10.53,103.53,96.38,93.21,82.19,95.34,86.03,97.63,90.26,91.21,102.38,89.48,87.16,89.07,95.78,83.33,80.64,85.44,92.79,83.53,84.4,90.57,80.88,94.92,81.66,,30,965,36,28.75,
27.10.22 16:08:17,10.78,103.53,95.95,93.21,81.65,95.2,86.03,97.34,89.98,90.92,102.52,89.63,86.59,88.78,95.63,83.19,80.08,85.15,92.64,83.39,83.96,90.43,80.29,94.92,81.66,,30,965,36,28.78,
27.10.22 16:08:32,11.03,103.67,96.09,93.06,81.92,95.05,85.74,97.48,89.83,90.92,102.52,89.05,86.45,89.07,95.63,83.19,79.94,85.01,92.79,83.12,83.96,90.29,80.44,94.77,81.24,,30,965,36,28.81,
27.10.22 16:08:47,11.28,103.67,95.8,92.92,81.24,94.91,85.74,97.34,90.26,90.92,102.38,89.05,86.03,88.78,95.78,82.91,79.65,84.73,92.48,83.12,83.82,90.29,80.29,94.77,81.38,,30,965,36,28.81,
27.10.22 16:09:02,11.53,103.67,95.52,92.64,80.97,95.2,85.74,97.48,90.12,91.07,102.38,88.91,86.03,88.78,95.34,82.77,79.37,84.17,92.33,82.98,83.53,90.29,79.99,94.77,81.38,,30,965,36,28.84,
27.10.22 16:09:17,11.78,103.97,95.23,92.64,80.83,95.05,85.46,97.19,90.26,90.92,102.82,89.2,85.75,88.93,95.49,82.77,79.09,83.89,92.48,82.98,83.53,90.29,79.55,94.63,81.1,,30,965,36,28.85,
27.10.22 16:09:32,12.03,104.12,95.23,92.49,80.83,94.91,85.46,97.04,90.12,90.78,102.67,88.62,85.32,88.64,95.63,82.63,78.67,83.61,92.48,82.84,83.38,90.01,79.4,94.63,80.54,,30,965,36,28.86,
27.10.22 16:09:47,12.28,103.82,95.09,92.49,80.7,94.62,85.32,97.34,89.83,90.64,102.82,88.77,84.9,88.64,95.63,82.49,78.39,83.61,92.48,82.43,83.09,89.58,78.95,94.49,80.4,,30,965,36,28.85,
27.10.22 16:10:02,12.53,104.12,94.8,92.49,80.7,94.76,85.32,97.04,89.98,90.35,102.82,88.34,84.76,88.36,95.49,82.21,77.97,83.47,92.33,82.29,82.94,89.44,79.1,94.49,80.4,,30,965,36,28.89,
27.10.22 16:10:17,12.78,104.12,94.23,92.64,80.02,94.76,85.32,97.04,89.83,90.49,102.82,88.62,84.62,88.36,95.34,82.35,77.83,83.33,92.17,82.01,82.8,89.3,79.1,94.34,80.4,,30,965,36,28.92,
27.10.22 16:10:32,13.03,103.82,93.94,92.07,79.48,94.04,85.03,96.75,89.69,90.06,102.67,88.19,84.06,88.22,95.06,81.78,77.41,83.19,92.02,81.46,82.36,89.16,78.95,93.91,79.84,,30,965,36,28.92,
27.10.22 16:10:47,13.28,104.12,94.23,92.21,79.75,94.33,85.32,96.75,89.98,90.35,102.82,88.48,84.06,87.94,95.34,81.92,77.27,83.47,92.02,81.6,82.21,89.16,79.25,94.05,79.7,,30,965,36,28.94,
27.10.22 16:11:02,13.53,104.12,93.94,92.21,79.21,94.19,84.75,96.89,89.69,90.06,102.97,87.91,83.92,87.8,95.06,81.64,77.13,83.47,91.86,81.46,82.07,88.88,79.1,93.91,79.7,,30,965,36,28.96,
27.10.22 16:11:17,13.78,104.12,93.8,91.92,78.94,94.19,84.61,96.6,89.55,89.77,102.67,87.48,83.78,87.8,94.91,81.36,76.85,83.33,91.55,81.05,81.78,88.88,78.95,93.77,79.43,,30,965,36,28.96,
27.10.22 16:11:32,14.03,104.27,93.8,91.92,78.94,94.04,84.61,96.6,89.41,89.77,102.97,87.34,83.64,87.8,94.91,81.36,76.71,83.33,91.71,81.05,81.34,88.74,79.25,93.91,79.15,,30,965,36,28.98,
27.10.22 16:11:47,14.28,104.27,93.23,91.64,78.67,94.04,84.32,96.45,89.26,89.77,103.12,87.05,83.22,87.52,94.91,81.08,76.43,83.05,91.55,80.78,81.2,88.46,79.4,93.62,79.29,,30,965,36,28.99,
27.10.22 16:12:02,14.53,104.27,93.37,91.64,78.13,93.75,84.61,96.45,88.84,89.48,102.97,86.77,82.94,87.38,94.77,80.66,76.15,83.05,91.4,80.64,81.05,88.32,79.4,93.62,78.59,,30,965,36,29.02,
27.10.22 16:12:17,14.78,104.12,93.23,91.35,77.73,93.47,84.04,96.31,88.69,89.2,102.97,86.77,82.25,87.23,94.48,80.38,75.18,82.91,91.24,80.37,80.91,88.05,79.4,93.62,78.59,,30,965,36,29.03,
27.10.22 16:12:32,15.03,104.56,93.08,91.5,77.86,93.75,84.18,96.45,88.69,89.48,103.12,86.91,82.11,87.52,94.77,80.38,75.32,83.33,91.4,80.37,80.76,88.19,79.84,93.62,78.45,,30,965,36,29.03,
27.10.22 16:12:47,15.28,104.27,93.23,91.5,77.19,93.32,83.76,96.01,88.69,89.2,103.12,86.34,81.69,87.23,94.34,80.1,74.9,82.91,91.09,80.23,80.47,88.05,79.4,93.19,78.17,,30,965,36,29.06,
27.10.22 16:13:02,15.53,104.27,93.08,91.21,76.79,93.18,83.76,96.16,88.98,89.05,103.27,86.06,81.55,86.81,94.34,79.4,74.76,82.77,91.24,80.09,80.04,87.63,79.4,93.05,78.04,,30,965,36,29.06,
27.10.22 16:13:17,15.78,104.27,92.8,91.07,76.39,92.89,83.76,95.72,88.55,88.91,103.42,85.63,81.28,86.67,94.05,79.27,74.76,82.63,90.94,79.96,79.75,87.49,79.4,93.05,77.62,,30,965,36,29.09,
27.10.22 16:13:32,16.03,104.56,92.8,90.79,76.26,93.04,83.62,95.86,88.41,88.91,103.27,85.77,81,86.67,94.05,79.13,74.63,82.49,91.09,79.96,79.89,87.35,79.69,92.91,77.21,,30,965,36,29.1,
27.10.22 16:13:47,16.28,104.56,92.8,90.79,76.39,93.32,83.9,95.86,88.41,88.91,103.87,85.63,81,86.53,94.19,79.13,74.63,82.91,91.09,79.82,79.75,87.35,79.84,92.91,77.34,,30,965,36,29.13,
27.10.22 16:14:02,16.53,104.12,91.95,90.5,76.12,92.61,83.19,95.86,87.98,88.48,103.27,85.06,80.31,86.11,93.76,78.57,74.21,82.63,90.63,79.14,79.17,86.79,79.4,92.62,76.93,,30,965,36,29.13,
27.10.22 16:14:17,16.78,104.41,92.23,90.79,75.86,92.61,83.33,95.72,87.98,88.77,103.72,85.06,80.31,86.11,93.9,78.43,74.49,82.77,90.94,79.14,79.03,86.93,79.99,92.76,77.07,,30,965,36,29.14,
27.10.22 16:14:32,17.03,104.27,92.09,90.64,75.72,92.18,83.05,95.86,87.98,88.48,103.72,84.64,80.03,85.97,93.76,78.29,74.35,82.49,90.94,79,78.74,86.65,79.99,92.62,76.79,,30,965,36,29.16,
27.10.22 16:14:47,17.28,104.41,92.09,90.36,75.59,92.03,82.91,95.72,87.98,88.19,104.17,84.5,80.03,85.97,93.47,78.15,74.49,82.35,90.78,78.86,78.74,86.79,79.99,92.62,76.65,,30,965,36,29.17,
27.10.22 16:15:02,17.53,104.41,92.23,90.36,75.32,91.75,82.91,95.43,87.56,88.19,104.02,84.21,79.48,85.69,93.62,77.74,74.35,82.07,90.78,78.73,78.45,86.51,80.14,92.48,76.65,,30,965,36,29.17,
27.10.22 16:15:17,17.78,104.41,91.81,90.36,75.32,91.6,82.77,95.43,87.56,87.91,104.32,83.93,79.61,85.41,93.33,77.74,74.35,81.93,90.78,78.46,78.6,86.51,80.29,92.05,76.51,,30,965,36,29.21,
27.10.22 16:15:32,18.03,104.41,91.81,90.08,75.32,91.18,82.49,95.43,87.41,87.77,104.32,83.93,78.93,85.27,93.19,77.46,74.07,81.52,90.63,78.32,78.31,86.24,80.29,92.05,76.38,,30,965,36,29.21,
27.10.22 16:15:47,18.28,104.41,91.81,90.08,75.19,90.61,82.35,95.43,87.27,87.62,104.32,83.79,78.38,85.13,93.19,77.04,73.8,81.24,90.47,77.78,78.02,86.38,80.14,91.76,76.24,,30,965,36,29.24,
27.10.22 16:16:02,18.53,104.12,91.66,89.79,75.32,90.89,82.21,95.28,87.27,87.48,104.47,83.23,78.38,84.85,93.19,77.04,73.66,80.96,90.63,77.78,77.88,86.1,80.29,91.91,76.24,,30,965,36,29.24,
27.10.22 16:16:17,18.78,104.27,91.52,89.65,75.06,90.18,82.21,95.28,86.99,87.48,104.62,83.37,78.1,84.72,93.04,76.9,73.52,80.82,90.47,77.78,77.88,86.1,80.29,91.91,75.83,,30,965,36,29.25,
27.10.22 16:16:32,19.03,103.97,91.66,89.65,74.92,90.18,82.07,94.84,86.85,87.05,104.77,82.95,77.55,84.44,92.9,76.63,73.24,80.27,90.01,77.37,77.73,85.96,80.14,91.48,75.55,,30,965,36,29.25,
27.10.22 16:16:47,19.28,104.27,91.52,89.37,74.92,89.75,81.92,94.99,86.14,86.91,104.77,82.38,77.14,84.3,92.9,76.08,73.11,80.13,90.17,77.37,77.59,85.82,80.14,91.48,75.55,,30,965,36,29.28,
27.10.22 16:17:02,19.53,104.12,91.24,89.23,74.66,89.75,81.5,94.99,86.28,86.77,104.92,82.52,76.87,84.02,92.9,76.08,72.69,79.57,90.17,77.37,77.59,85.82,79.69,91.48,75.41,,30,965,36,29.28,
27.10.22 16:17:17,19.78,103.97,91.24,89.09,74.39,89.04,81.5,94.84,85.86,86.48,104.92,81.68,76.32,84.02,92.61,75.66,72.55,79.16,90.17,77.1,77.45,85.82,79.99,91.19,75.41,,30,965,36,29.3,
27.10.22 16:17:32,20.03,104.12,90.96,89.23,74.52,88.9,81.22,94.84,85.44,86.62,104.92,81.68,76.32,83.74,92.47,75.52,72.42,78.88,90.17,76.96,77.3,85.68,79.99,91.05,75.14,,30,965,36,29.31,
27.10.22 16:17:47,20.28,104.12,91.1,89.09,74.66,88.9,81.36,94.84,85.44,86.62,105.07,81.68,76.05,83.88,92.61,75.39,72.42,79.02,90.17,76.83,77.45,85.68,79.99,90.91,75,,30,965,36,29.33,
27.10.22 16:18:02,20.53,104.27,90.81,88.67,73.99,88.2,81.08,94.26,85.01,86.34,105.07,81.68,75.64,83.6,92.18,74.84,72,78.74,89.86,76.69,77.16,85.68,79.84,90.77,74.45,,30,965,36,29.34,
27.10.22 16:18:17,20.78,103.97,90.53,88.67,73.99,88.05,80.8,94.26,85.01,86.06,104.92,81.4,75.5,83.46,92.18,74.56,72,78.61,89.86,76.42,77.02,85.27,79.55,90.48,74.18,,30,965,36,29.35,
27.10.22 16:18:32,21.03,103.97,90.25,88.67,73.73,87.21,80.94,94.4,84.59,85.91,104.92,81.12,75.23,83.19,92.04,74.29,71.73,78.47,89.86,76.42,76.87,85.4,79.55,90.63,73.9,,30,965,36,29.36,
27.10.22 16:18:47,21.28,103.82,89.97,88.1,73.46,87.07,80.52,93.96,84.45,85.77,104.92,80.7,74.82,83.19,91.9,74.01,71.73,78.19,89.4,76.15,76.59,85.27,79.1,90.34,73.77,,30,965,36,29.38,
27.10.22 16:19:02,21.53,103.97,90.11,88.38,73.33,86.79,80.52,94.26,84.59,85.63,105.22,80.42,74.69,83.19,92.04,73.74,71.73,78.33,89.4,76.02,76.59,85.13,79.25,90.48,73.63,,30,965,36,29.39,
27.10.22 16:19:17,21.78,103.67,89.83,87.96,73.2,86.08,80.52,94.11,84.59,85.49,104.92,79.86,74.14,82.91,91.9,73.33,71.59,78.19,89.55,75.75,76.59,84.99,78.95,90.06,73.49,,30,965,36,29.41,
27.10.22 16:19:32,22.03,103.67,89.68,88.24,72.8,85.94,80.24,93.96,84.31,85.35,105.07,80,74.01,82.77,91.9,73.06,71.32,78.19,89.09,75.48,76.16,85.13,78.81,89.92,73.36,,30,965,36,29.42,
27.10.22 16:19:47,22.28,103.67,89.26,87.82,72.8,85.52,80.24,93.82,84.31,85.35,105.37,79.59,73.74,82.63,91.47,72.92,71.32,77.78,89.09,75.21,76.3,84.99,78.81,90.06,73.22,,30,965,36,29.42,
27.10.22 16:20:02,22.53,103.67,89.4,87.68,72.8,85.1,80.1,93.67,83.89,85.06,105.07,79.17,73.47,82.63,91.61,72.37,71.18,77.51,88.94,74.94,76.16,84.85,78.81,89.92,73.22,,30,965,36,29.45,
27.10.22 16:20:17,22.78,103.38,89.12,87.26,72.28,84.55,79.68,93.53,83.61,85.06,104.92,78.89,73.2,82.22,91.47,72.24,70.91,77.51,88.94,74.4,75.87,84.44,78.51,89.49,72.81,,30,965,36,29.44,
27.10.22 16:20:32,23.03,103.82,89.54,87.26,72.8,84.55,79.96,93.96,83.47,85.06,105.52,78.75,73.2,82.36,91.61,72.24,71.32,77.37,88.78,74.4,76.02,84.3,78.95,89.77,72.67,,30,965,36,29.46,
27.10.22 16:20:47,23.28,103.53,89.12,87.4,72.41,83.43,79.54,93.53,83.19,84.5,104.92,78.34,72.93,82.08,91.33,71.83,70.91,77.09,88.63,73.73,75.87,83.75,78.81,89.63,72.81,,30,965,36,29.46,
27.10.22 16:21:02,23.53,103.67,89.4,86.98,72.41,82.74,79.13,93.23,83.19,84.21,105.07,77.92,72.79,81.94,91.19,71.56,70.91,76.82,88.32,72.93,75.59,83.34,78.66,89.49,72.67,,30,965,36,29.49,
27.10.22 16:21:17,23.78,103.53,89.12,86.84,72.14,82.18,79.13,93.09,83.19,83.79,105.07,77.92,72.12,81.66,90.9,71.01,70.5,76.82,88.17,72.4,75.3,83.06,78.51,89.21,72.13,,30,965,36,29.5,
27.10.22 16:21:32,24.03,103.67,88.84,86.42,72.01,81.21,78.99,92.94,82.77,83.93,105.22,77.64,72.12,81.39,90.76,71.01,70.5,76.82,88.17,71.6,75.02,83.06,78.51,89.35,71.99,,30,965,36,29.49,
27.10.22 16:21:47,24.28,103.38,88.98,86.28,71.62,80.66,78.71,92.51,82.49,83.79,105.07,76.95,71.85,81.53,90.9,70.61,70.09,76.82,87.71,71.07,75.02,82.79,78.36,88.93,71.59,,30,965,36,29.52,
27.10.22 16:22:02,24.53,103.82,88.84,86.42,71.49,79.83,78.57,92.51,82.63,83.65,105.07,76.95,71.31,81.11,90.76,70.33,69.95,76.68,87.86,70.14,74.87,82.51,78.51,89.07,71.59,,30,965,36,29.53,
27.10.22 16:22:17,24.78,103.67,88.7,86.14,71.35,79.56,78.57,92.36,82.21,83.79,104.77,76.54,70.91,81.25,90.76,70.2,69.68,76.55,87.56,69.08,74.59,82.24,78.36,88.78,71.18,,30,965,36,29.55,
