name	term	lev	seq	value
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN15216_c0_g1	-0.578482664309784
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN153519_c0_g1	-0.564305292165796
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN15544_c0_g2	0.353715675964439
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN155976_c0_g2	-0.113606235241024
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN16284_c0_g1	-0.766283713305454
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN16409_c0_g1	0.127140176988422
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN168558_c0_g2	-0.3789794472048
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN17365_c0_g1	0.0830289041085035
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN17494_c0_g1	-1.27675293738567
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN19946_c0_g4	-1.15311937553942
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN2047_c0_g2	-0.305228348427485
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN20591_c0_g1	-0.255942720722951
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN205_c3_g1	0.587636434553098
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN21694_c0_g1	0.630008564078209
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN22532_c0_g1	-0.400422635182171
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN232_c2_g1	0.549353097510452
