"","5","8","12","16","20","24"
"TRINITY_DN144370_c0_g2",16,50,31,16,0,16
"TRINITY_DN145299_c0_g2",9,19,8,15,17,23
"TRINITY_DN145840_c0_g1",18,23,31,23,9,0
"TRINITY_DN148161_c0_g1",43,81,123,103,127,62
"TRINITY_DN148585_c0_g1",4,6,13,56,14,27
"TRINITY_DN148796_c0_g1",16,59,38,37,48,31
"TRINITY_DN150130_c1_g3",6,3,14,17,20,9
"TRINITY_DN150182_c0_g1",29,0,23,0,47,0
"TRINITY_DN150834_c0_g1",11,49,23,25,16,41
"TRINITY_DN152262_c0_g4",15,14,17,11,24,40
"TRINITY_DN152590_c1_g2",46,24,53,18,36,13
"TRINITY_DN152534_c0_g2",93,61,106,53,73,33
"TRINITY_DN152584_c0_g1",11,26,19,64,40,18
"TRINITY_DN152524_c0_g2",9,18,19,10,19,6
"TRINITY_DN153060_c0_g1",27,12,6,23,34,33
"TRINITY_DN153277_c0_g1",8,14,10,43,24,12
"TRINITY_DN153233_c2_g1",199,215,187,216,275,313
"TRINITY_DN153257_c0_g1",21,13,40,15,48,14
"TRINITY_DN154348_c0_g1",3,25,40,31,9,0
"TRINITY_DN154396_c0_g1",16,19,44,29,49,32
"TRINITY_DN155667_c0_g1",17,14,4,2,8,17
"TRINITY_DN156205_c0_g2",13,0,20,12,4,0
"TRINITY_DN156199_c0_g1",2,20,6,12,11,0
"TRINITY_DN156623_c0_g1",23,21,31,24,51,18
"TRINITY_DN156687_c0_g2",75,86,99,90,147,133
"TRINITY_DN156901_c0_g1",87,188,89,158,127,89
"TRINITY_DN157739_c0_g1",25,39,46,50,81,50
"TRINITY_DN157741_c0_g2",15,4,15,23,2,4
"TRINITY_DN158301_c0_g1",30,38,19,43,46,38
"TRINITY_DN159576_c0_g1",6,13,13,2,13,3
"TRINITY_DN159734_c0_g1",5,11,63,39,13,3
"TRINITY_DN159737_c0_g1",135,203,121,137,74,133
"TRINITY_DN159776_c0_g2",223,413,348,439,410,317
"TRINITY_DN159812_c0_g2",113,144,129,176,189,213
"TRINITY_DN160403_c0_g1",36,33,89,98,69,53
"TRINITY_DN160786_c0_g1",64,110,67,69,81,42
"TRINITY_DN160756_c0_g1",25,8,4,7,23,13
"TRINITY_DN161712_c0_g2",29,34,50,45,21,22
"TRINITY_DN163002_c0_g1",2,10,31,6,15,22
"TRINITY_DN163789_c0_g1",79,45,44,84,55,46
"TRINITY_DN163780_c0_g1",23,12,26,20,8,0
"TRINITY_DN166129_c0_g1",26,34,14,25,10,14
"TRINITY_DN166255_c1_g1",8,12,8,14,18,25
"TRINITY_DN167235_c0_g1",20,8,6,8,23,17
"TRINITY_DN167261_c0_g1",43,72,38,180,74,106
"TRINITY_DN167263_c0_g1",0,8,205,0,238,48
"TRINITY_DN167263_c0_g3",0,0,16,0,29,12
"TRINITY_DN167263_c0_g5",0,0,31,0,57,14
"TRINITY_DN167568_c0_g1",7,16,28,18,9,12
"TRINITY_DN167629_c0_g1",46,47,48,25,72,56
"TRINITY_DN167809_c0_g1",61,82,91,102,97,69
"TRINITY_DN167730_c0_g1",6,0,28,25,15,0
"TRINITY_DN167730_c0_g2",10,10,27,21,14,7
"TRINITY_DN168084_c0_g2",12,12,14,30,36,20
"TRINITY_DN168078_c0_g3",23,18,122,92,32,0
"TRINITY_DN168048_c0_g1",26,2,22,19,22,0
"TRINITY_DN168140_c0_g1",11,13,8,12,4,4
"TRINITY_DN168154_c0_g1",77,15,14,32,18,4
"TRINITY_DN168367_c0_g1",13,0,16,3,0,33
"TRINITY_DN168405_c0_g3",19,4,8,39,11,0
"TRINITY_DN169754_c0_g1",36,33,29,11,8,5
"TRINITY_DN169768_c0_g2",18,14,13,25,27,23
"TRINITY_DN170568_c0_g1",182,160,213,194,219,185
"TRINITY_DN170568_c0_g2",87,95,95,115,97,77
"TRINITY_DN170568_c0_g3",79,100,99,133,99,94
"TRINITY_DN170793_c0_g1",0,27,135,16,0,13
"TRINITY_DN171805_c0_g2",23,35,42,54,51,32
"TRINITY_DN172063_c1_g1",7,28,10,53,33,10
"TRINITY_DN172068_c0_g1",19,17,21,22,11,30
"TRINITY_DN172429_c2_g2",5,9,14,24,17,10
"TRINITY_DN172432_c1_g1",84,23,12,60,59,61
"TRINITY_DN173125_c0_g1",22,23,14,21,10,8
"TRINITY_DN173532_c0_g3",55,3,18,5,14,3
"TRINITY_DN174322_c0_g1",13,15,19,19,11,13
"TRINITY_DN175271_c0_g1",23,0,14,2,0,14
"TRINITY_DN175279_c0_g1",0,16,31,23,13,27
"TRINITY_DN176053_c0_g1",17,61,31,20,27,37
"TRINITY_DN176059_c0_g1",13,14,8,27,29,10
"TRINITY_DN176758_c0_g1",25,41,59,42,30,45
"TRINITY_DN176744_c0_g1",21,24,3,28,18,14
"TRINITY_DN177890_c0_g1",0,13,4,31,1,23
"TRINITY_DN177863_c0_g2",9,22,14,9,15,5
"TRINITY_DN177863_c0_g3",93,55,72,104,74,66
"TRINITY_DN177868_c0_g1",84,150,174,124,101,149
"TRINITY_DN178430_c0_g1",15,13,5,2,4,13
"TRINITY_DN178865_c0_g1",193,167,195,155,208,145
"TRINITY_DN178979_c0_g1",32,64,39,37,114,45
"TRINITY_DN179851_c0_g1",44,39,36,91,50,71
"TRINITY_DN179851_c0_g2",112,214,135,175,176,164
"TRINITY_DN179824_c0_g1",10,12,24,9,19,9
"TRINITY_DN179955_c1_g1",18,38,43,33,50,18
"TRINITY_DN180406_c0_g1",11,19,42,2,34,12
"TRINITY_DN180896_c0_g1",56,58,75,57,40,102
"TRINITY_DN180878_c0_g2",22,13,15,6,32,18
"TRINITY_DN180838_c0_g3",33,0,20,15,19,18
"TRINITY_DN180987_c2_g1",11,7,11,12,18,11
"TRINITY_DN182100_c0_g1",43,57,62,98,82,83
"TRINITY_DN182659_c0_g1",0,11,10,21,18,8
"TRINITY_DN182628_c0_g2",14,6,27,15,23,11
"TRINITY_DN183126_c0_g1",14,5,13,14,2,9
"TRINITY_DN183292_c1_g1",0,28,22,11,0,14
"TRINITY_DN183238_c0_g2",4,25,32,49,27,28
"TRINITY_DN184160_c0_g2",14,13,2,4,17,5
"TRINITY_DN184203_c0_g1",19,13,34,30,4,6
"TRINITY_DN184344_c0_g1",12,33,20,28,13,56
"TRINITY_DN184321_c0_g1",44,4,10,10,31,31
"TRINITY_DN184612_c0_g1",1798,1845,1969,2307,2926,1608
"TRINITY_DN184976_c0_g1",75,43,96,92,101,62
"TRINITY_DN185777_c0_g1",31,14,8,21,35,40
"TRINITY_DN185797_c0_g1",7,11,25,7,21,15
"TRINITY_DN186650_c1_g1",14,24,10,6,18,2
"TRINITY_DN186646_c0_g1",50,27,28,52,41,72
"TRINITY_DN187269_c0_g1",2,4,16,17,8,22
"TRINITY_DN188551_c0_g3",21,16,17,19,14,13
"TRINITY_DN188742_c0_g1",18,43,23,71,18,0
"TRINITY_DN189245_c0_g1",9,12,5,28,13,23
"TRINITY_DN189290_c0_g1",106,110,52,27,118,68
"TRINITY_DN189461_c0_g1",16,15,16,15,20,0
"TRINITY_DN189461_c0_g2",9,16,1,12,27,2
"TRINITY_DN190500_c0_g1",73,102,89,109,158,74
"TRINITY_DN190456_c0_g1",30,31,26,23,35,16
"TRINITY_DN191387_c0_g1",11,5,13,20,2,26
"TRINITY_DN191357_c0_g4",6,17,34,34,16,0
"TRINITY_DN191552_c0_g2",3,27,23,6,2,31
"TRINITY_DN191819_c0_g1",14,12,26,26,24,6
"TRINITY_DN192453_c0_g1",25,2,27,19,15,7
"TRINITY_DN192940_c0_g1",754,714,814,1069,964,748
"TRINITY_DN192973_c1_g1",25,24,42,46,23,33
"TRINITY_DN196159_c0_g1",17,19,2,6,13,18
"TRINITY_DN196283_c3_g1",5,8,22,15,15,15
"TRINITY_DN196506_c0_g1",50,28,66,42,69,47
"TRINITY_DN196508_c0_g1",6,26,30,29,13,10
"TRINITY_DN197615_c0_g1",15,8,12,18,20,6
"TRINITY_DN199140_c0_g1",13,25,19,17,4,22
"TRINITY_DN100032_c1_g2",3,19,28,34,12,0
"TRINITY_DN100034_c0_g1",30,43,49,37,49,32
"TRINITY_DN100051_c1_g1",12,8,10,20,20,2
"TRINITY_DN100048_c0_g1",64,72,151,67,110,98
"TRINITY_DN100609_c0_g1",19,72,34,22,25,6
"TRINITY_DN101023_c0_g1",37,20,29,66,55,23
"TRINITY_DN101244_c0_g1",58,71,72,80,44,56
"TRINITY_DN101302_c0_g1",6,19,4,24,13,18
"TRINITY_DN101250_c0_g2",20,11,20,8,12,13
"TRINITY_DN101254_c1_g1",57,82,61,86,46,110
"TRINITY_DN101259_c0_g1",8,17,20,11,22,58
"TRINITY_DN102308_c0_g1",3,17,14,11,4,10
"TRINITY_DN102329_c1_g1",51,73,39,56,57,40
"TRINITY_DN102358_c1_g2",4,10,15,15,4,14
"TRINITY_DN102526_c0_g1",23,20,28,31,54,30
"TRINITY_DN102594_c1_g1",15,28,48,29,42,32
"TRINITY_DN102534_c0_g1",10,15,14,16,10,2
"TRINITY_DN102605_c0_g1",16,13,6,14,56,23
"TRINITY_DN102830_c0_g2",12,37,52,23,56,14
"TRINITY_DN102879_c0_g1",41,73,42,83,29,45
"TRINITY_DN103419_c0_g2",44,70,57,47,78,45
"TRINITY_DN103711_c0_g1",14,14,34,16,22,37
"TRINITY_DN103847_c0_g1",15,43,8,41,86,35
"TRINITY_DN103814_c0_g1",47,26,92,94,17,9
"TRINITY_DN103837_c0_g1",104,116,73,110,127,111
"TRINITY_DN103982_c0_g5",4,6,14,13,23,2
"TRINITY_DN103962_c0_g2",19,8,24,19,18,8
"TRINITY_DN103976_c0_g3",11,11,6,5,11,0
"TRINITY_DN104061_c2_g1",16,9,18,1,4,13
"TRINITY_DN104671_c0_g1",16,9,12,12,9,25
"TRINITY_DN104652_c0_g2",37,29,18,46,37,24
"TRINITY_DN104706_c0_g1",51,51,55,20,66,71
"TRINITY_DN104706_c0_g2",21,9,14,14,33,4
"TRINITY_DN104688_c0_g1",24,10,51,49,9,0
"TRINITY_DN104895_c0_g2",11,0,8,12,18,5
"TRINITY_DN105744_c0_g3",7,23,11,5,6,16
"TRINITY_DN106053_c0_g1",26,32,19,0,0,0
"TRINITY_DN106299_c0_g1",6,15,12,3,25,17
"TRINITY_DN106299_c0_g3",7,8,15,9,12,15
"TRINITY_DN106300_c0_g1",19,30,20,26,16,21
"TRINITY_DN106390_c0_g1",61,59,56,71,38,48
"TRINITY_DN106407_c1_g2",7,17,23,17,31,13
"TRINITY_DN107195_c2_g1",16,12,41,19,17,5
"TRINITY_DN107259_c0_g1",26,0,28,29,15,59
"TRINITY_DN107259_c1_g1",17,25,25,49,72,9
"TRINITY_DN107767_c0_g1",22,15,13,20,41,20
"TRINITY_DN108397_c0_g1",20,57,28,33,56,17
"TRINITY_DN108315_c0_g1",24,12,12,22,6,0
"TRINITY_DN110828_c0_g1",15,13,11,16,15,7
"TRINITY_DN111039_c0_g1",179,103,181,220,92,112
"TRINITY_DN112084_c0_g1",23,7,48,8,54,21
"TRINITY_DN112719_c0_g1",3,15,2,36,25,16
"TRINITY_DN112757_c0_g1",17,18,24,31,36,33
"TRINITY_DN112805_c0_g3",12,3,15,12,2,2
"TRINITY_DN112790_c0_g1",29,19,44,57,43,36
"TRINITY_DN112800_c0_g2",39,23,31,23,15,21
