"","260","261","262","248","249","250"
"TRINITY_DN121957_c0_g1",11,13,33,49,23,20
"TRINITY_DN122004_c0_g1",17,63,63,53,3,13
"TRINITY_DN123414_c0_g1",44,38,24,52,9,0
"TRINITY_DN127033_c0_g1",12,40,24,7,2,2
"TRINITY_DN129093_c0_g2",37,31,42,8,18,17
"TRINITY_DN129066_c0_g2",12,11,20,16,0,9
"TRINITY_DN129238_c0_g1",39,34,66,83,17,8
"TRINITY_DN131679_c0_g1",12,14,6,12,0,2
"TRINITY_DN131669_c0_g1",34,48,70,49,0,14
"TRINITY_DN132276_c0_g3",25,59,36,32,0,0
"TRINITY_DN132770_c1_g1",8,11,4,335,184,135
"TRINITY_DN132770_c1_g2",10,9,6,455,228,124
"TRINITY_DN134079_c0_g1",31,50,33,11,25,18
"TRINITY_DN134079_c1_g1",55,34,31,26,14,20
"TRINITY_DN134580_c3_g1",7,10,14,41,11,17
"TRINITY_DN135486_c1_g1",10,19,41,62,19,10
"TRINITY_DN136203_c0_g1",12,15,19,54,4,17
"TRINITY_DN138267_c0_g2",16,17,10,0,0,14
"TRINITY_DN138831_c1_g1",11,17,18,2,3,6
"TRINITY_DN139192_c1_g2",16,24,21,14,6,14
"TRINITY_DN139830_c3_g1",22,42,72,59,17,17
"TRINITY_DN140362_c0_g1",24,63,37,21,13,32
"TRINITY_DN140832_c0_g3",63,52,43,35,0,36
"TRINITY_DN141759_c0_g1",19,20,58,61,8,4
"TRINITY_DN141812_c0_g1",58,48,41,26,4,4
"TRINITY_DN142290_c0_g1",39,36,52,17,16,4
"TRINITY_DN143366_c0_g1",33,40,31,86,34,93
"TRINITY_DN143366_c0_g2",28,39,30,97,60,22
"TRINITY_DN145299_c0_g2",152,172,175,76,60,27
"TRINITY_DN145893_c0_g1",11,20,25,8,2,6
"TRINITY_DN148161_c0_g1",290,259,304,212,116,94
"TRINITY_DN148796_c0_g1",24,32,33,10,12,6
"TRINITY_DN152590_c1_g2",3,13,11,11,2,13
"TRINITY_DN152534_c0_g2",23,94,26,4,0,16
"TRINITY_DN153060_c0_g1",344,442,332,997,1970,1403
"TRINITY_DN153233_c2_g1",385,364,441,904,300,340
"TRINITY_DN154348_c0_g1",6,26,5,36,14,15
"TRINITY_DN154396_c0_g1",13,45,17,17,0,3
"TRINITY_DN155622_c0_g1",0,2,3,204,304,260
"TRINITY_DN156623_c0_g1",39,32,43,30,9,17
"TRINITY_DN156687_c0_g2",69,82,85,59,148,71
"TRINITY_DN156901_c0_g1",59,44,52,41,34,63
"TRINITY_DN156988_c0_g3",72,100,114,66,52,40
"TRINITY_DN157739_c0_g1",407,373,426,130,51,34
"TRINITY_DN158301_c0_g1",43,17,33,4,8,11
"TRINITY_DN159737_c0_g1",38,63,90,65,10,27
"TRINITY_DN159776_c0_g2",290,383,349,274,88,107
"TRINITY_DN159812_c0_g2",463,483,528,224,77,95
"TRINITY_DN160403_c0_g1",17,26,25,73,8,10
"TRINITY_DN160786_c0_g1",124,102,143,73,31,47
"TRINITY_DN163041_c0_g3",18,11,7,18,11,27
"TRINITY_DN163789_c0_g1",25,31,2,11,20,2
"TRINITY_DN166129_c0_g1",16,15,31,27,15,21
"TRINITY_DN166255_c0_g1",8,18,19,49,4,7
"TRINITY_DN166255_c1_g1",50,43,57,115,16,13
"TRINITY_DN167261_c0_g1",44,17,40,82,43,40
"TRINITY_DN167263_c0_g1",26,21,23,22,15,14
"TRINITY_DN167309_c0_g1",52,75,54,44,71,56
"TRINITY_DN167629_c0_g1",58,71,52,28,14,11
"TRINITY_DN167809_c0_g1",109,119,171,129,66,46
"TRINITY_DN167812_c0_g2",89,97,204,719,222,241
"TRINITY_DN168084_c0_g2",12,2,17,22,11,5
"TRINITY_DN169768_c0_g2",19,32,18,20,11,10
"TRINITY_DN170568_c0_g1",302,252,198,369,171,367
"TRINITY_DN170568_c0_g2",136,153,101,183,127,136
"TRINITY_DN170568_c0_g3",257,185,160,224,140,180
"TRINITY_DN171805_c0_g2",53,38,66,30,5,9
"TRINITY_DN172063_c1_g1",21,47,34,51,8,14
"TRINITY_DN172068_c0_g1",23,12,20,10,4,6
"TRINITY_DN173125_c0_g1",61,45,69,151,13,24
"TRINITY_DN173532_c0_g3",30,31,17,35,39,33
"TRINITY_DN175279_c0_g1",19,30,15,14,33,9
"TRINITY_DN176053_c0_g1",7,15,50,37,10,7
"TRINITY_DN176059_c0_g1",350,220,335,56,38,16
"TRINITY_DN176758_c0_g1",28,46,63,73,13,8
"TRINITY_DN176744_c0_g1",22,41,28,0,6,10
"TRINITY_DN177863_c0_g3",24,60,54,60,16,9
"TRINITY_DN177868_c0_g1",38,40,57,33,11,8
"TRINITY_DN178430_c0_g1",10,18,23,46,9,5
"TRINITY_DN178865_c0_g1",239,248,266,924,323,332
"TRINITY_DN178949_c0_g1",21,41,38,69,45,37
"TRINITY_DN178979_c0_g1",63,58,116,108,47,29
"TRINITY_DN179851_c0_g1",16,35,25,12,0,0
"TRINITY_DN179851_c0_g2",46,23,76,40,35,22
"TRINITY_DN179955_c1_g1",16,21,14,25,4,12
"TRINITY_DN180878_c0_g2",35,35,52,98,26,28
"TRINITY_DN182100_c0_g1",219,202,174,88,74,111
"TRINITY_DN183238_c0_g2",18,55,67,27,11,13
"TRINITY_DN184612_c0_g1",4799,5323,4306,1687,2278,1982
"TRINITY_DN184976_c0_g1",71,98,71,42,19,19
"TRINITY_DN185777_c0_g1",50,45,87,35,11,17
"TRINITY_DN185777_c1_g1",25,20,15,19,0,4
"TRINITY_DN186646_c0_g1",28,33,50,24,7,16
"TRINITY_DN189007_c0_g1",12,16,10,11,5,5
"TRINITY_DN190500_c0_g1",99,183,147,496,210,144
"TRINITY_DN190456_c0_g1",38,67,73,48,14,22
"TRINITY_DN191552_c0_g2",91,56,62,40,87,96
"TRINITY_DN192940_c0_g1",706,870,734,479,286,581
"TRINITY_DN192973_c1_g1",15,14,9,8,4,24
"TRINITY_DN194501_c0_g1",16,14,35,5,0,4
"TRINITY_DN195230_c0_g1",16,23,17,0,4,0
"TRINITY_DN195952_c0_g1",11,18,30,29,6,0
"TRINITY_DN196506_c0_g1",20,31,42,48,9,15
"TRINITY_DN197596_c0_g1",21,6,31,7,5,12
"TRINITY_DN100034_c0_g1",23,46,32,22,19,22
"TRINITY_DN100048_c0_g1",55,84,99,97,38,25
"TRINITY_DN100081_c0_g1",4,14,6,14,16,0
"TRINITY_DN100937_c0_g1",114,208,304,410,98,90
"TRINITY_DN100964_c0_g2",9,16,27,11,8,7
"TRINITY_DN101036_c0_g1",92,136,61,407,266,182
"TRINITY_DN101052_c0_g1",29,41,50,21,13,4
"TRINITY_DN101302_c0_g1",17,9,20,50,0,21
"TRINITY_DN101250_c0_g2",26,109,64,13,0,4
"TRINITY_DN101254_c1_g1",27,19,28,14,16,17
"TRINITY_DN102308_c0_g1",19,19,8,9,15,3
"TRINITY_DN102329_c1_g1",36,56,138,78,15,21
"TRINITY_DN102526_c0_g1",68,42,73,14,10,6
"TRINITY_DN102605_c0_g1",5,0,12,33,16,29
"TRINITY_DN102830_c0_g2",22,33,40,27,31,9
"TRINITY_DN102874_c0_g1",21,21,17,12,24,18
"TRINITY_DN103419_c0_g2",129,102,116,96,58,21
"TRINITY_DN103711_c0_g1",41,44,42,52,10,12
"TRINITY_DN103847_c0_g1",30,31,57,37,18,4
"TRINITY_DN103837_c0_g1",27,30,46,22,6,9
"TRINITY_DN103976_c0_g3",12,18,25,12,12,0
"TRINITY_DN104671_c0_g1",0,18,13,29,2,5
"TRINITY_DN104683_c0_g1",12,8,11,5,12,12
"TRINITY_DN104706_c0_g1",68,55,57,104,47,37
"TRINITY_DN104706_c0_g2",25,28,27,45,11,9
"TRINITY_DN104907_c0_g1",15,19,14,13,15,6
"TRINITY_DN104854_c0_g1",17,8,15,5,17,12
"TRINITY_DN105791_c0_g1",12,14,9,12,23,27
"TRINITY_DN106299_c0_g1",120,171,149,579,269,313
"TRINITY_DN106299_c0_g3",116,115,157,541,163,137
"TRINITY_DN106300_c0_g1",29,31,48,17,14,25
"TRINITY_DN106390_c0_g1",56,75,54,30,19,19
"TRINITY_DN106407_c1_g2",8,22,30,5,11,0
"TRINITY_DN107125_c0_g1",2,6,4,15,20,28
"TRINITY_DN107259_c0_g1",8,22,24,28,8,15
"TRINITY_DN108397_c0_g1",13,47,16,30,6,0
"TRINITY_DN111039_c0_g1",41,69,84,183,11,28
"TRINITY_DN112757_c0_g1",29,50,41,188,86,43
"TRINITY_DN112790_c0_g1",29,58,41,77,21,26
"TRINITY_DN112800_c0_g2",20,21,30,7,11,14
"TRINITY_DN113253_c0_g1",7,26,15,12,0,4
"TRINITY_DN113263_c0_g1",16,0,20,19,4,6
"TRINITY_DN114323_c0_g1",13,17,15,31,7,8
"TRINITY_DN114322_c1_g2",14,24,42,61,4,7
"TRINITY_DN114815_c0_g1",16,6,7,34,10,11
"TRINITY_DN115004_c1_g1",32,13,18,12,4,13
"TRINITY_DN115282_c0_g1",103,62,41,14,15,9
"TRINITY_DN115254_c0_g2",26,21,14,4,5,2
"TRINITY_DN115540_c0_g1",45,30,54,16,6,16
"TRINITY_DN115529_c0_g1",128,232,193,58,52,45
"TRINITY_DN116552_c0_g1",35,27,22,19,34,13
"TRINITY_DN116831_c0_g2",187,180,212,71,23,29
"TRINITY_DN116831_c1_g2",160,149,174,106,22,31
"TRINITY_DN117135_c0_g1",42,38,52,24,20,11
"TRINITY_DN117296_c0_g1",108,169,258,543,190,121
"TRINITY_DN117238_c0_g1",85,75,58,60,10,5
"TRINITY_DN117252_c1_g2",14,0,46,26,0,3
"TRINITY_DN117248_c0_g2",45,14,51,47,43,18
"TRINITY_DN117289_c0_g1",270,308,482,888,256,230
"TRINITY_DN117593_c0_g1",56,42,36,44,19,11
"TRINITY_DN117592_c0_g1",113,91,86,100,64,64
"TRINITY_DN117615_c0_g1",17,15,21,15,10,5
"TRINITY_DN117686_c0_g1",120,108,278,130,50,12
"TRINITY_DN119269_c1_g1",24,28,25,2,0,0
"TRINITY_DN120466_c1_g1",35,31,23,5,7,0
"TRINITY_DN120409_c1_g1",32,16,35,21,0,1
"TRINITY_DN121004_c0_g1",16,9,43,11,11,11
"TRINITY_DN120978_c0_g1",53,49,53,27,9,3
"TRINITY_DN120991_c0_g1",307,324,225,244,144,176
"TRINITY_DN120919_c0_g1",78,60,25,43,27,18
"TRINITY_DN121490_c0_g1",25,57,74,55,5,4
"TRINITY_DN121490_c0_g5",36,36,54,59,26,6
"TRINITY_DN121574_c1_g1",19,14,33,75,2,6
"TRINITY_DN122680_c0_g1",7,44,16,52,18,30
"TRINITY_DN124327_c0_g2",36,37,34,52,6,4
"TRINITY_DN125846_c0_g1",6,12,10,13,4,16
"TRINITY_DN126817_c0_g1",26,16,30,21,14,11
"TRINITY_DN127318_c0_g1",23,19,75,38,0,11
"TRINITY_DN127381_c0_g1",23,22,23,6,0,2
"TRINITY_DN127324_c2_g1",27,24,18,13,15,18
"TRINITY_DN127987_c0_g3",346,223,95,49,17,37
"TRINITY_DN128638_c0_g2",40,57,63,71,40,36
"TRINITY_DN128644_c0_g3",20,18,18,12,0,7
"TRINITY_DN128675_c0_g1",17,15,7,26,0,2
"TRINITY_DN128833_c0_g1",7,22,18,71,15,20
"TRINITY_DN131473_c1_g3",4,32,20,37,2,10
"TRINITY_DN131503_c0_g1",15,19,28,7,17,5
"TRINITY_DN131510_c0_g1",29,28,26,40,52,19
"TRINITY_DN131564_c0_g1",448,621,590,937,258,305
"TRINITY_DN132381_c0_g1",15,10,21,27,38,6
"TRINITY_DN134772_c0_g3",105,92,117,123,82,61
"TRINITY_DN135381_c1_g1",37,39,44,58,32,49
"TRINITY_DN135924_c0_g1",54,76,66,43,12,13
"TRINITY_DN136023_c0_g2",32,32,31,23,10,5
"TRINITY_DN136349_c0_g2",6,36,42,56,9,10
"TRINITY_DN136602_c0_g1",46,20,42,25,8,6
"TRINITY_DN136647_c0_g2",126,129,177,133,34,46
"TRINITY_DN137077_c0_g1",11,3,6,22,5,11
"TRINITY_DN137407_c0_g1",0,13,0,14,13,17
"TRINITY_DN137503_c0_g1",72,70,128,168,71,88
"TRINITY_DN137535_c0_g1",36,127,77,53,12,16
"TRINITY_DN139289_c0_g2",20,12,4,18,4,7
"TRINITY_DN139259_c0_g2",32,24,45,43,16,5
"TRINITY_DN139292_c0_g1",14,12,18,43,18,3
"TRINITY_DN140101_c0_g1",29,9,19,27,13,2
"TRINITY_DN140292_c0_g1",40,39,42,24,9,7
"TRINITY_DN140279_c0_g1",62,68,33,78,76,55
"TRINITY_DN140279_c0_g2",136,87,61,126,198,173
"TRINITY_DN141089_c0_g1",17,29,23,18,3,6
"TRINITY_DN141046_c0_g1",29,27,34,25,10,13
"TRINITY_DN141265_c0_g3",0,12,11,19,0,2
"TRINITY_DN142404_c0_g1",113,69,93,93,56,35
"TRINITY_DN142743_c0_g1",276,383,595,1342,826,437
"TRINITY_DN143560_c0_g2",68,41,66,131,42,54
"TRINITY_DN143545_c0_g1",52,48,17,6,13,4
"TRINITY_DN143545_c0_g2",11,11,17,23,15,6
"TRINITY_DN143752_c1_g1",59,59,74,45,16,14
"TRINITY_DN143848_c1_g1",15,25,22,6,3,9
"TRINITY_DN144119_c0_g1",35,49,68,82,24,19
"TRINITY_DN144993_c0_g1",3,23,24,22,6,13
"TRINITY_DN145598_c0_g1",29,12,25,4,0,0
"TRINITY_DN145513_c0_g1",109,106,172,385,12,28
"TRINITY_DN146713_c0_g1",13,17,21,3,0,0
"TRINITY_DN146878_c0_g1",41,41,49,89,21,15
"TRINITY_DN146823_c0_g1",50,51,34,134,52,38
"TRINITY_DN146827_c2_g1",464,506,582,1305,494,223
"TRINITY_DN147370_c0_g1",36,10,34,45,4,19
"TRINITY_DN147341_c0_g1",24,27,17,27,11,18
"TRINITY_DN147609_c0_g1",38,64,54,47,21,10
"TRINITY_DN147908_c0_g1",6,6,22,128,25,9
"TRINITY_DN149652_c0_g1",20,16,44,11,4,4
"TRINITY_DN149845_c0_g1",48,33,30,7,8,9
"TRINITY_DN150348_c0_g2",19,37,13,0,13,2
"TRINITY_DN150357_c1_g1",6,22,14,14,0,6
"TRINITY_DN150783_c0_g2",61,48,78,38,14,18
"TRINITY_DN150790_c1_g2",17,8,14,13,6,3
"TRINITY_DN150758_c0_g2",25,9,22,23,2,0
"TRINITY_DN151192_c0_g1",39,57,42,59,19,28
"TRINITY_DN151646_c0_g1",134,132,86,144,14,45
"TRINITY_DN151811_c0_g1",14,12,37,41,47,28
"TRINITY_DN152463_c0_g2",187,173,217,271,134,69
"TRINITY_DN152646_c0_g1",40,49,52,53,43,18
"TRINITY_DN153469_c0_g1",46,98,94,85,18,14
"TRINITY_DN153519_c0_g3",104,139,228,217,105,103
"TRINITY_DN153569_c0_g1",80,47,124,169,41,31
"TRINITY_DN153582_c0_g1",144,120,166,229,44,29
"TRINITY_DN153811_c0_g1",29,23,22,0,19,17
"TRINITY_DN153787_c0_g1",16,32,29,13,4,9
"TRINITY_DN153899_c0_g1",24,18,15,11,0,11
"TRINITY_DN153846_c0_g1",43,76,55,22,13,16
"TRINITY_DN154543_c0_g2",170,104,122,69,70,43
"TRINITY_DN154539_c0_g1",6,12,15,26,11,6
"TRINITY_DN154530_c0_g1",142,87,183,307,86,42
"TRINITY_DN154585_c0_g1",13,6,57,4,0,14
"TRINITY_DN156064_c0_g1",27,21,33,16,5,9
"TRINITY_DN156266_c0_g3",24,34,27,19,10,0
"TRINITY_DN156275_c0_g1",53,36,72,15,0,0
"TRINITY_DN156275_c0_g2",41,52,79,50,5,12
"TRINITY_DN156276_c0_g1",20,12,12,4,5,6
"TRINITY_DN157218_c0_g1",12,18,16,20,6,10
"TRINITY_DN157265_c0_g1",123,125,197,716,214,195
"TRINITY_DN157310_c0_g1",20,20,21,17,31,14
"TRINITY_DN158070_c0_g2",39,39,47,40,69,14
"TRINITY_DN158045_c0_g1",46,42,34,24,14,10
"TRINITY_DN158394_c0_g1",56,82,65,111,36,34
"TRINITY_DN158600_c0_g1",44,22,53,106,20,33
"TRINITY_DN159112_c0_g1",61,40,55,70,15,35
"TRINITY_DN161931_c0_g2",13,26,10,10,17,4
"TRINITY_DN163330_c2_g1",38,26,56,80,7,15
"TRINITY_DN164862_c1_g1",34,34,40,11,2,10
"TRINITY_DN167352_c0_g2",36,46,63,132,61,39
"TRINITY_DN167512_c0_g1",42,33,40,28,14,26
"TRINITY_DN167862_c0_g1",24,24,22,11,0,11
"TRINITY_DN169263_c0_g1",27,19,29,26,6,4
"TRINITY_DN169256_c0_g1",13,29,49,15,5,3
"TRINITY_DN170138_c0_g2",48,46,50,7,2,4
"TRINITY_DN170336_c0_g2",22,25,47,13,5,8
"TRINITY_DN171691_c0_g1",72,60,50,90,79,65
"TRINITY_DN172184_c0_g1",10,24,28,20,0,4
"TRINITY_DN174017_c1_g1",14,24,13,31,12,0
"TRINITY_DN174028_c0_g1",138,137,91,140,73,85
"TRINITY_DN174028_c0_g2",528,447,680,770,167,312
"TRINITY_DN174028_c1_g1",265,328,388,462,91,114
"TRINITY_DN174262_c1_g1",39,51,75,48,13,13
"TRINITY_DN174307_c0_g1",139,202,101,200,154,134
"TRINITY_DN175899_c0_g2",270,266,573,315,91,120
"TRINITY_DN175928_c0_g1",24,16,36,19,8,3
"TRINITY_DN176554_c0_g2",102,82,134,49,4,16
"TRINITY_DN176913_c0_g1",36,44,33,54,20,27
"TRINITY_DN176847_c0_g1",7,19,5,26,8,13
"TRINITY_DN180218_c0_g1",18,32,66,155,47,81
"TRINITY_DN180526_c0_g1",19,0,6,24,14,13
"TRINITY_DN181934_c0_g1",17,26,19,16,2,14
"TRINITY_DN182905_c0_g1",15,6,12,0,11,0
"TRINITY_DN182852_c0_g3",14,32,15,40,32,23
"TRINITY_DN182881_c0_g2",15,29,13,0,0,2
"TRINITY_DN183374_c0_g1",11,14,2,15,5,1
"TRINITY_DN184091_c0_g3",31,19,14,13,6,8
"TRINITY_DN184055_c0_g1",15,14,9,19,4,4
"TRINITY_DN186795_c0_g1",5,23,15,12,4,14
"TRINITY_DN186795_c0_g2",47,30,60,59,20,17
"TRINITY_DN190998_c0_g2",38,45,45,40,7,13
"TRINITY_DN193157_c0_g1",6,15,28,25,13,10
"TRINITY_DN193194_c0_g1",21,29,24,41,48,46
"TRINITY_DN193726_c1_g2",20,9,26,39,13,2
"TRINITY_DN193792_c0_g2",20,18,32,12,3,15
"TRINITY_DN193792_c0_g3",18,30,43,40,23,14
"TRINITY_DN194904_c0_g1",448,574,733,565,529,573
"TRINITY_DN195483_c0_g1",40,30,44,21,0,4
"TRINITY_DN196019_c1_g1",114,42,109,60,12,23
"TRINITY_DN197739_c0_g1",500,120,249,18,4,7
"TRINITY_DN198494_c0_g2",6,12,18,21,10,9
"TRINITY_DN100182_c0_g2",26,19,23,15,8,6
"TRINITY_DN100292_c0_g1",13,32,12,37,7,16
"TRINITY_DN100295_c0_g1",30,39,18,0,0,2
"TRINITY_DN100270_c0_g1",29,36,28,27,18,54
"TRINITY_DN100269_c0_g1",133,215,240,207,124,75
"TRINITY_DN100269_c0_g2",0,17,13,24,10,4
"TRINITY_DN100229_c0_g1",40,23,14,17,2,11
"TRINITY_DN100229_c0_g2",45,52,49,15,9,12
"TRINITY_DN100498_c0_g1",143,101,127,293,147,56
"TRINITY_DN100865_c0_g1",4,25,18,12,0,4
"TRINITY_DN100884_c0_g1",15,18,13,3,6,9
"TRINITY_DN101766_c0_g1",15,22,6,19,7,10
"TRINITY_DN101725_c0_g1",15,38,30,107,41,21
"TRINITY_DN101734_c0_g2",73,50,68,31,19,22
"TRINITY_DN101734_c0_g3",14,20,15,8,3,8
"TRINITY_DN101835_c0_g1",61,36,76,42,16,27
"TRINITY_DN102037_c0_g3",6,21,30,14,10,12
"TRINITY_DN102479_c0_g1",17,8,24,20,17,4
"TRINITY_DN103364_c0_g1",83,106,179,204,42,47
"TRINITY_DN103634_c0_g1",59,66,58,49,21,25
"TRINITY_DN104124_c0_g1",57,11,17,8,4,4
"TRINITY_DN104141_c1_g1",18,28,25,29,0,2
"TRINITY_DN104213_c0_g1",25,32,5,25,10,23
"TRINITY_DN104236_c0_g3",162,120,193,154,29,48
"TRINITY_DN104288_c0_g1",71,25,130,26,20,19
"TRINITY_DN104254_c0_g1",38,32,46,33,3,4
"TRINITY_DN104736_c0_g1",13,30,13,3,0,0
"TRINITY_DN104727_c0_g1",2,12,19,11,9,17
"TRINITY_DN105074_c0_g1",111,181,163,47,50,58
"TRINITY_DN105022_c0_g1",181,188,201,283,159,197
"TRINITY_DN106789_c0_g2",15,18,11,4,3,2
"TRINITY_DN107350_c0_g1",33,29,30,22,4,13
"TRINITY_DN107463_c0_g1",98,108,153,140,35,46
"TRINITY_DN107503_c1_g1",11,10,21,21,0,3
"TRINITY_DN108418_c0_g1",53,33,30,16,11,20
"TRINITY_DN108686_c0_g1",31,13,0,17,8,16
"TRINITY_DN108684_c0_g3",43,29,78,19,11,12
"TRINITY_DN109319_c0_g1",23,7,22,13,0,6
"TRINITY_DN109521_c0_g1",22,57,47,26,7,5
"TRINITY_DN110044_c0_g1",35,64,18,9,2,4
"TRINITY_DN110101_c0_g2",16,4,17,20,11,16
"TRINITY_DN111236_c0_g3",101,111,142,139,20,20
"TRINITY_DN112450_c0_g1",40,62,102,205,57,45
"TRINITY_DN112677_c0_g2",15,10,21,25,0,4
"TRINITY_DN112647_c0_g1",35,32,63,32,0,10
"TRINITY_DN112632_c0_g1",15,16,8,32,10,4
"TRINITY_DN112948_c0_g1",20,43,31,19,11,11
"TRINITY_DN113630_c0_g1",45,46,95,23,0,6
"TRINITY_DN114447_c0_g1",17,22,11,8,2,8
"TRINITY_DN117988_c0_g2",156,302,267,132,62,63
"TRINITY_DN119319_c1_g1",11,11,14,14,3,8
"TRINITY_DN119567_c0_g1",10,43,38,15,6,0
"TRINITY_DN119724_c0_g2",14,11,6,20,0,3
"TRINITY_DN120045_c1_g1",70,111,104,16,0,0
"TRINITY_DN120216_c0_g1",26,31,45,26,4,0
"TRINITY_DN121078_c0_g1",128,263,295,276,108,97
"TRINITY_DN121809_c0_g1",15,2,14,27,4,4
"TRINITY_DN121742_c0_g1",25,26,56,6,10,7
"TRINITY_DN121875_c0_g1",44,20,18,13,13,17
"TRINITY_DN122147_c0_g2",29,11,37,47,12,2
"TRINITY_DN122167_c0_g1",13,30,51,37,24,13
"TRINITY_DN122364_c0_g1",77,82,29,14,17,32
"TRINITY_DN123292_c0_g1",620,556,475,278,199,152
"TRINITY_DN123555_c0_g1",124,82,158,187,79,70
"TRINITY_DN123720_c0_g1",164,135,174,80,63,57
"TRINITY_DN123720_c1_g1",177,188,250,156,54,48
"TRINITY_DN124223_c0_g1",32,19,20,9,11,6
"TRINITY_DN125081_c0_g1",24,20,17,4,6,0
"TRINITY_DN126058_c0_g1",90,69,82,220,31,29
"TRINITY_DN127676_c0_g1",22,36,18,22,2,4
"TRINITY_DN127701_c0_g2",756,1099,811,436,297,296
"TRINITY_DN128204_c0_g1",95,92,69,27,74,58
"TRINITY_DN128350_c0_g1",10,15,23,20,3,9
"TRINITY_DN128737_c0_g2",25,57,37,392,102,199
"TRINITY_DN128737_c0_g3",45,35,17,389,101,204
"TRINITY_DN129116_c0_g1",24,22,27,20,0,0
"TRINITY_DN129197_c0_g2",40,58,87,86,8,21
"TRINITY_DN129382_c0_g1",84,71,74,73,73,74
"TRINITY_DN129621_c2_g2",24,26,38,12,17,12
"TRINITY_DN130432_c0_g3",472,660,476,60,55,54
"TRINITY_DN130494_c0_g1",82,51,163,210,55,34
"TRINITY_DN130946_c0_g2",28,31,53,55,27,38
"TRINITY_DN130940_c1_g1",13,40,19,8,0,11
"TRINITY_DN130985_c0_g1",61,61,84,44,16,7
"TRINITY_DN133361_c0_g1",64,45,75,75,10,14
