tube.ID,treatment,date.photographed,replicate,type,length (mm),width (mm),initials
ACR-22,hot,20221018,9,egg,0.64,0.55,DMBP
ACR-22,hot,20221018,10,egg,0.655,0.52,DMBP
ACR-10,ambient,20221018,1,egg,0.643,0.63,DMBP
ACR-10,ambient,20221018,2,egg,0.648,0.55,DMBP
ACR-10,ambient,20221018,3,egg,0.624,0.719,DMBP
ACR-10,ambient,20221018,4,egg,0.611,0.675,DMBP
ACR-10,ambient,20221018,5,egg,0.676,0.602,DMBP
ACR-10,ambient,20221018,6,egg,0.649,0.545,DMBP
ACR-10,ambient,20221018,7,egg,0.752,0.632,DMBP
ACR-10,ambient,20221018,8,egg,0.682,0.657,DMBP
ACR-10,ambient,20221018,9,egg,0.648,0.456,DMBP
ACR-10,ambient,20221018,10,egg,0.706,0.566,DMBP
ACR-23,hot,20221018,1,egg,0.509,0.452,DMBP
ACR-23,hot,20221018,2,egg,0.518,0.415,DMBP
ACR-23,hot,20221018,3,egg,0.505,0.435,DMBP
ACR-23,hot,20221018,4,egg,0.488,0.516,DMBP
ACR-23,hot,20221018,5,egg,0.568,0.392,DMBP
ACR-23,hot,20221018,6,egg,0.516,0.389,DMBP
ACR-23,hot,20221018,7,egg,0.532,0.49,DMBP
ACR-23,hot,20221018,8,egg,0.512,0.479,DMBP
ACR-23,hot,20221018,9,egg,0.53,0.505,DMBP
ACR-23,hot,20221018,10,egg,0.504,0.447,DMBP
ACR-24,hot,20221019,1,egg,0.576,0.548,DMBP
ACR-24,hot,20221019,2,egg,0.613,0.581,DMBP
ACR-24,hot,20221019,3,egg,0.622,0.51,DMBP
ACR-24,hot,20221019,4,egg,0.579,0.537,DMBP
ACR-24,hot,20221019,5,egg,0.649,0.537,DMBP
ACR-24,hot,20221019,6,egg,0.76,0.466,DMBP
ACR-24,hot,20221019,7,egg,0.579,0.521,DMBP
ACR-24,hot,20221019,8,egg,0.718,0.678,DMBP
ACR-24,hot,20221019,9,egg,0.745,0.675,DMBP
ACR-24,hot,20221019,10,egg,0.495,0.519,DMBP
ACR-11,ambient,20221019,1,egg,0.434,0.424,DMBP
ACR-11,ambient,20221019,2,egg,0.461,0.454,DMBP
ACR-11,ambient,20221019,3,egg,0.631,0.422,DMBP
ACR-11,ambient,20221019,4,egg,0.449,0.442,DMBP
ACR-11,ambient,20221019,5,egg,0.449,0.449,DMBP
ACR-11,ambient,20221019,6,egg,0.436,0.419,DMBP
ACR-11,ambient,20221019,7,egg,0.462,0.436,DMBP
ACR-11,ambient,20221019,8,egg,0.416,0.456,DMBP
ACR-11,ambient,20221019,9,egg,0.476,0.478,DMBP
ACR-11,ambient,20221019,10,egg,0.492,0.449,DMBP
ACR-10,ambient,20221019,1,egg,0.609,0.55,DMBP
ACR-10,ambient,20221019,2,egg,0.653,0.476,DMBP
ACR-10,ambient,20221019,3,egg,0.592,0.508,DMBP
ACR-10,ambient,20221019,4,egg,0.499,0.421,DMBP
ACR-10,ambient,20221019,5,egg,0.589,0.487,DMBP
ACR-10,ambient,20221019,6,egg,0.654,0.457,DMBP
ACR-10,ambient,20221019,7,egg,0.556,0.271,DMBP
ACR-10,ambient,20221019,8,egg,0.492,0.42,DMBP
ACR-10,ambient,20221019,9,egg,0.624,0.527,DMBP
ACR-10,ambient,20221019,10,egg,0.559,0.536,DMBP
ACR-18,hot,20221020,1,egg,0.715,0.701,DMBP
ACR-18,hot,20221020,2,egg,0.671,0.613,DMBP
ACR-18,hot,20221020,3,egg,0.669,0.617,DMBP
ACR-18,hot,20221020,4,egg,0.701,0.687,DMBP
ACR-18,hot,20221020,5,egg,0.757,0.678,DMBP
ACR-18,hot,20221020,6,egg,0.736,0.596,DMBP
ACR-18,hot,20221020,7,egg,0.645,0.589,DMBP
ACR-18,hot,20221020,8,egg,0.703,0.656,DMBP
ACR-18,hot,20221020,9,egg,0.713,0.576,DMBP
ACR-18,hot,20221020,10,egg,0.713,0.676,DMBP
