ColonyID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR-13,hot,1,10,TP2,Acclimation,20220323,IMG_3744,241.09,115.928,214.906,177.195,151.458,88.96,Emma,Tank photo = IMG_3742
ACR-14,hot,2,8,TP2,Acclimation,20220323,IMG_3739,209.768,82.172,148.73,164.952,141.511,68.512,Emma,Tank photo = IMG_3738
ACR-15,hot,3,20,TP2,Acclimation,20220323,IMG_3767,211.434,86.581,167.286,163.562,141.233,72.933,Emma,Tank photo = IMG_3766
ACR-16,hot,4,18,TP2,Acclimation,20220323,IMG_3762,252.669,112.22,202.301,170.251,149.789,100.075,Emma,Tank photo = IMG_3761
ACR-17,hot,5,4,TP2,Acclimation,20220323,IMG_3730,141.102,88.04,152.469,153.683,126.748,52.998,Emma,Tank photo = IMG_3729
ACR-18,hot,6,22,TP2,Acclimation,20220323,IMG_3771,231.98,106.523,181.413,152.804,131.899,75.268,Emma,Tank photo = IMG_3770
ACR-19,hot,7,16,TP2,Acclimation,20220323,IMG_3758,223.241,93.26,194.065,155.862,134.204,75.421,Emma,Tank photo = IMG_3757
ACR-20,hot,8,2,TP2,Acclimation,20220323,IMG_3724,232.53,104.593,186.153,174.193,148.397,75.445,Emma,Tank photo = IMG_3723
ACR-21,hot,9,15,TP2,Acclimation,20220323,IMG_3754,244.385,119.82,206.165,159.449,133.293,62.376,Emma,Tank photo = IMG_3753
ACR-22,hot,10,12,TP2,Acclimation,20220323,IMG_3748,222.718,88.871,191.481,184.558,159.579,99.112,Emma,Tank photo = IMG_3747
ACR-23,hot,11,23,TP2,Acclimation,20220323,IMG_3773,239.469,109.051,199.703,166.207,139.987,70.948,Emma,Tank photo = IMG_3772
ACR-24,hot,12,6,TP2,Acclimation,20220323,IMG_3735,222.208,97.28,181.279,152.802,127.713,64.102,Emma,Tank photo = IMG_3734
ACR-1,ambient,1,17,TP2,Acclimation,20220325,,,,,,,,,
ACR-2,ambient,2,14,TP2,Acclimation,20220325,,,,,,,,,
ACR-3,ambient,3,7,TP2,Acclimation,20220325,,,,,,,,,
ACR-4,ambient,4,24,TP2,Acclimation,20220325,,,,,,,,,
ACR-5,ambient,5,13,TP2,Acclimation,20220325,,,,,,,,,
ACR-6,ambient,6,9,TP2,Acclimation,20220325,,,,,,,,,
ACR-7,ambient,7,3,TP2,Acclimation,20220325,,,,,,,,,
ACR-8,ambient,8,19,TP2,Acclimation,20220325,,,,,,,,,
ACR-9,ambient,9,21,TP2,Acclimation,20220325,,,,,,,,,
ACR-10,ambient,10,5,TP2,Acclimation,20220325,,,,,,,,,
ACR-11,ambient,11,1,TP2,Acclimation,20220325,,,,,,,,,
ACR-12,ambient,12,11,TP2,Acclimation,20220325,,,,,,,,,
ACR-13,hot,1,10,TP2,Acclimation,20220325,,,,,,,,,
ACR-14,hot,2,8,TP2,Acclimation,20220325,,,,,,,,,
ACR-15,hot,3,20,TP2,Acclimation,20220325,,,,,,,,,
ACR-16,hot,4,18,TP2,Acclimation,20220325,,,,,,,,,
